Orthogroup	G_gallus.pep	N_naja.pep
OG0000010	ENSGALG00000031804.2	Nana24069-RA
OG0000014	ENSGALG00000054599.1, ENSGALG00000020078.6	Nana09496-RA
OG0000014	ENSGALG00000038969.2	Nana24071-RA
OG0000014	ENSGALG00000048231.1	Nana10429-RA, Nana23739-RA, Nana27153-RA
OG0000014	ENSGALG00000051325.1	Nana24315-RA
OG0000018	ENSGALG00000050250.1	Nana10432-RA
OG0000018	ENSGALG00000042491.2	Nana24072-RA
OG0000021	ENSGALG00000037864.2, ENSGALG00000039977.3, ENSGALG00000029606.2, ENSGALG00000028612.3, ENSGALG00000032404.2, ENSGALG00000042257.2, ENSGALG00000027323.4	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB
OG0000021	ENSGALG00000030985.2	Nana13832-RA, Nana13832-RB
OG0000021	ENSGALG00000015358.7	Nana24863-RA
OG0000023	ENSGALG00000054820.1	Nana23400-RA
OG0000026	ENSGALG00000048480.1, ENSGALG00000050242.1, ENSGALG00000048333.1, ENSGALG00000038668.2, ENSGALG00000052881.1, ENSGALG00000050281.1, ENSGALG00000050703.1, ENSGALG00000053430.1, ENSGALG00000046772.1, ENSGALG00000052429.1	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA
OG0000027	ENSGALG00000006241.5	Nana03933-RA, Nana20181-RA
OG0000027	ENSGALG00000052192.1	Nana03934-RB, Nana03934-RA
OG0000027	ENSGALG00000008444.6	Nana27836-RA
OG0000027	ENSGALG00000013045.6, ENSGALG00000013056.6	Nana27543-RA
OG0000027	ENSGALG00000040586.3	Nana13883-RA
OG0000027	ENSGALG00000000433.7, ENSGALG00000011324.6	Nana03933-RB
OG0000027	ENSGALG00000040260.2	Nana09911-RA
OG0000029	ENSGALG00000034868.3	Nana10116-RA
OG0000033	ENSGALG00000017341.7	Nana25601-RA
OG0000034	ENSGALG00000008586.5	Nana36726-RA
OG0000034	ENSGALG00000012821.7	Nana15765-RA
OG0000034	ENSGALG00000054420.1	Nana15763-RA
OG0000034	ENSGALG00000031275.3	Nana16081-RA
OG0000034	ENSGALG00000007447.5	Nana13527-RA
OG0000042	ENSGALG00000028565.3, ENSGALG00000052936.1	Nana15423-RA, Nana15427-RA, Nana15429-RA
OG0000050	ENSGALG00000054732.1, ENSGALG00000051203.1, ENSGALG00000037166.2, ENSGALG00000047526.1, ENSGALG00000032803.2	Nana16983-RA, Nana16985-RA, Nana39960-RA, Nana16988-RA, Nana16986-RA, Nana17000-RA, Nana16988-RB, Nana16990-RA, Nana38885-RA, Nana16995-RA, Nana16991-RA, Nana16993-RA, Nana16981-RA, Nana39715-RA, Nana38884-RA, Nana38882-RA, Nana16998-RA, Nana39002-RA, Nana39003-RA, Nana16982-RA
OG0000051	ENSGALG00000011009.6	Nana03481-RA, Nana03471-RA
OG0000051	ENSGALG00000027793.3	Nana03469-RA
OG0000051	ENSGALG00000034427.2	Nana22919-RA
OG0000051	ENSGALG00000027702.3, ENSGALG00000006072.8	Nana21196-RA
OG0000051	ENSGALG00000043728.2	Nana09998-RA
OG0000056	ENSGALG00000046083.2, ENSGALG00000043142.2, ENSGALG00000045614.2	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA
OG0000057	ENSGALG00000008283.7	Nana20821-RA
OG0000057	ENSGALG00000045255.2	Nana20799-RA
OG0000057	ENSGALG00000008178.6, ENSGALG00000045351.2	Nana20824-RA, Nana20776-RA, Nana20777-RA, Nana20786-RA, Nana20771-RA, Nana20773-RA, Nana20784-RA, Nana20793-RA, Nana20777-RB
OG0000059	ENSGALG00000028749.4	Nana09728-RA
OG0000059	ENSGALG00000009621.7	Nana34355-RA
OG0000059	ENSGALG00000009844.7	Nana05169-RA
OG0000059	ENSGALG00000006343.6	Nana01616-RA, Nana19300-RA
OG0000061	ENSGALG00000028659.2	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA
OG0000062	ENSGALG00000002931.6	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA
OG0000063	ENSGALG00000015062.5	Nana12777-RA
OG0000065	ENSGALG00000010969.6	Nana05575-RB, Nana05575-RA, Nana05574-RA
OG0000069	ENSGALG00000034988.3	Nana09934-RA
OG0000069	ENSGALG00000034701.2, ENSGALG00000041909.2	Nana10146-RA, Nana10140-RA, Nana10137-RA, Nana10142-RA, Nana10295-RA
OG0000072	ENSGALG00000048258.1	Nana35916-RA
OG0000072	ENSGALG00000001661.5	Nana00984-RA
OG0000074	ENSGALG00000054992.1, ENSGALG00000032796.3, ENSGALG00000051751.1	Nana11137-RA, Nana11138-RA
OG0000077	ENSGALG00000034124.3	Nana12814-RA, Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA, Nana04248-RA, Nana04224-RA, Nana04218-RA, Nana08643-RA
OG0000077	ENSGALG00000006904.6	Nana04298-RA
OG0000081	ENSGALG00000039406.2	Nana37639-RA
OG0000083	ENSGALG00000054196.1, ENSGALG00000049551.1, ENSGALG00000053121.1, ENSGALG00000014585.5	Nana00631-RA
OG0000083	ENSGALG00000053868.1, ENSGALG00000032717.2, ENSGALG00000043603.2	Nana06622-RA, Nana06624-RA
OG0000083	ENSGALG00000034478.2	Nana00630-RA
OG0000085	ENSGALG00000036798.3	Nana02961-RA
OG0000085	ENSGALG00000008141.6	Nana32101-RD
OG0000085	ENSGALG00000016843.7	Nana02958-RA
OG0000085	ENSGALG00000004946.6	Nana20286-RB
OG0000085	ENSGALG00000038612.2	Nana20288-RA
OG0000086	ENSGALG00000005843.5	Nana13407-RA
OG0000086	ENSGALG00000015917.7	Nana02319-RA
OG0000087	ENSGALG00000001183.6	Nana09343-RA, Nana09343-RB
OG0000087	ENSGALG00000006520.7	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA
OG0000087	ENSGALG00000043092.2	Nana27331-RA
OG0000088	ENSGALG00000049023.1, ENSGALG00000050991.1, ENSGALG00000052233.1, ENSGALG00000051866.1, ENSGALG00000050527.1, ENSGALG00000048890.1, ENSGALG00000048014.1, ENSGALG00000054175.1, ENSGALG00000051248.1, ENSGALG00000047329.1, ENSGALG00000052928.1, ENSGALG00000052227.1, ENSGALG00000050241.1, ENSGALG00000054122.1, ENSGALG00000051879.1, ENSGALG00000053213.1, ENSGALG00000046889.1, ENSGALG00000051399.1, ENSGALG00000048329.1, ENSGALG00000050479.1, ENSGALG00000055028.1, ENSGALG00000051944.1, ENSGALG00000049563.1, ENSGALG00000051015.1, ENSGALG00000052919.1, ENSGALG00000054902.1, ENSGALG00000051525.1, ENSGALG00000050180.1, ENSGALG00000051046.1, ENSGALG00000052861.1, ENSGALG00000052397.1, ENSGALG00000051865.1, ENSGALG00000051926.1, ENSGALG00000053218.1, ENSGALG00000048185.1, ENSGALG00000055012.1, ENSGALG00000048974.1, ENSGALG00000053908.1, ENSGALG00000048569.1, ENSGALG00000052819.1, ENSGALG00000052688.1, ENSGALG00000051695.1, ENSGALG00000055009.1, ENSGALG00000051355.1, ENSGALG00000052695.1, ENSGALG00000049837.1, ENSGALG00000050847.1, ENSGALG00000051894.1, ENSGALG00000046848.1, ENSGALG00000051997.1	Nana00638-RA
OG0000091	ENSGALG00000050544.1, ENSGALG00000054648.1	Nana30970-RA
OG0000092	ENSGALG00000003521.7	Nana32804-RA, Nana32804-RB, Nana32804-RC
OG0000093	ENSGALG00000030550.3	Nana27045-RA
OG0000093	ENSGALG00000003601.6	Nana14174-RA
OG0000094	ENSGALG00000013838.6	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA
OG0000095	ENSGALG00000019755.4	Nana09552-RA
OG0000099	ENSGALG00000005256.6	Nana20229-RA
OG0000099	ENSGALG00000015593.6	Nana02215-RA
OG0000099	ENSGALG00000015403.5	Nana24836-RA
OG0000100	ENSGALG00000000357.7	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA
OG0000101	ENSGALG00000035086.3	Nana10097-RA, Nana10097-RB, Nana10097-RC
OG0000101	ENSGALG00000002907.7	Nana03073-RB
OG0000101	ENSGALG00000000585.7, ENSGALG00000005448.6	Nana21110-RA
OG0000102	ENSGALG00000006300.7	Nana04405-RA
OG0000102	ENSGALG00000035836.3	Nana27661-RA
OG0000106	ENSGALG00000042011.3	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA
OG0000106	ENSGALG00000009250.6	Nana03353-RG
OG0000108	ENSGALG00000004436.7	Nana34378-RB, Nana34378-RA
OG0000108	ENSGALG00000004449.5	Nana34377-RA, Nana34376-RA
OG0000110	ENSGALG00000027255.3	Nana35843-RA, Nana05423-RA
OG0000110	ENSGALG00000009107.6	Nana05425-RA, Nana00887-RA
OG0000111	ENSGALG00000011476.7	Nana17605-RA, Nana17605-RB
OG0000111	ENSGALG00000016811.6	Nana32413-RA, Nana26179-RA
OG0000111	ENSGALG00000008633.7	Nana08966-RA
OG0000112	ENSGALG00000011805.6	Nana22728-RA
OG0000113	ENSGALG00000016322.5	Nana02416-RA
OG0000113	ENSGALG00000016328.7	Nana02420-RA
OG0000113	ENSGALG00000038652.2, ENSGALG00000028551.4, ENSGALG00000016325.6	Nana02419-RA
OG0000115	ENSGALG00000044760.2	Nana24323-RA
OG0000115	ENSGALG00000005857.6	Nana15378-RA
OG0000116	ENSGALG00000051754.1, ENSGALG00000003690.7	Nana23099-RA
OG0000116	ENSGALG00000019718.6	Nana23092-RA
OG0000116	ENSGALG00000019719.5	Nana23093-RA, Nana23093-RB
OG0000119	ENSGALG00000001262.7	Nana30054-RA
OG0000119	ENSGALG00000016020.7	Nana24627-RA
OG0000119	ENSGALG00000016707.6	Nana02918-RA
OG0000120	ENSGALG00000011783.3, ENSGALG00000031874.2, ENSGALG00000031159.2	Nana23740-RA, Nana23738-RA, Nana24316-RA, Nana24308-RA, Nana27152-RA
OG0000126	ENSGALG00000012575.6	Nana11693-RA, Nana11693-RB
OG0000126	ENSGALG00000015184.6	Nana11690-RA
OG0000126	ENSGALG00000008120.7	Nana33631-RC, Nana33631-RB, Nana33631-RA
OG0000127	ENSGALG00000039048.2	Nana21098-RA
OG0000127	ENSGALG00000036870.2	Nana21079-RD, Nana21079-RC, Nana39208-RA, Nana21079-RE
OG0000127	ENSGALG00000023632.5	Nana38406-RA
OG0000128	ENSGALG00000003196.6, ENSGALG00000027165.4, ENSGALG00000011455.5	Nana23919-RA
OG0000129	ENSGALG00000037889.2	Nana13746-RA
OG0000129	ENSGALG00000031284.2	Nana16117-RA
OG0000129	ENSGALG00000031440.2	Nana30228-RA
OG0000129	ENSGALG00000037423.2	Nana30225-RA, Nana01987-RA
OG0000130	ENSGALG00000002413.6	Nana36269-RA, Nana33055-RA
OG0000134	ENSGALG00000042850.3	Nana13327-RA
OG0000135	ENSGALG00000006152.6, ENSGALG00000025778.4	Nana13295-RA, Nana38700-RC
OG0000135	ENSGALG00000029485.2	Nana38966-RA
OG0000136	ENSGALG00000016406.6	Nana25848-RA
OG0000136	ENSGALG00000011473.6	Nana01675-RA, Nana01675-RB
OG0000136	ENSGALG00000037136.2	Nana30115-RA
OG0000136	ENSGALG00000007097.6	Nana32194-RC, Nana32194-RA, Nana32194-RB
OG0000137	ENSGALG00000009700.7	Nana21626-RB, Nana21626-RA
OG0000137	ENSGALG00000045846.2	Nana23253-RA, Nana23253-RB
OG0000137	ENSGALG00000013235.5	Nana03410-RA, Nana03410-RB
OG0000138	ENSGALG00000051143.1, ENSGALG00000006477.7	Nana21262-RA
OG0000138	ENSGALG00000046725.1, ENSGALG00000027506.4	Nana03937-RA
OG0000143	ENSGALG00000001633.7	Nana28454-RA
OG0000143	ENSGALG00000050860.1	Nana18924-RD, Nana18924-RC
OG0000143	ENSGALG00000005007.6	Nana18923-RA
OG0000143	ENSGALG00000005017.6	Nana18922-RA
OG0000143	ENSGALG00000005019.5	Nana18920-RA
OG0000144	ENSGALG00000053964.1, ENSGALG00000029857.2	Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA
OG0000145	ENSGALG00000054868.1	Nana13194-RA, Nana13189-RA, Nana13190-RA, Nana13195-RA, Nana13192-RA, Nana13193-RA
OG0000145	ENSGALG00000050656.1	Nana13191-RA, Nana17827-RA
OG0000147	ENSGALG00000010490.8	Nana19440-RA
OG0000147	ENSGALG00000041203.3	Nana18452-RA
OG0000147	ENSGALG00000007582.6	Nana09013-RA
OG0000147	ENSGALG00000000227.7	Nana28363-RA
OG0000149	ENSGALG00000036496.2	Nana30761-RA, Nana30762-RA
OG0000149	ENSGALG00000014463.7	Nana01559-RA
OG0000149	ENSGALG00000042458.3	Nana04942-RA
OG0000150	ENSGALG00000042446.2	Nana34186-RA
OG0000150	ENSGALG00000029827.2	Nana34187-RB, Nana34187-RA
OG0000151	ENSGALG00000020688.6	Nana14459-RA
OG0000151	ENSGALG00000010469.7	Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA
OG0000153	ENSGALG00000014442.7	Nana11108-RA
OG0000154	ENSGALG00000006575.5	Nana21272-RA
OG0000154	ENSGALG00000012106.6	Nana03716-RA
OG0000154	ENSGALG00000005212.5	Nana39032-RA
OG0000155	ENSGALG00000019277.5	Nana27596-RB, Nana27596-RA
OG0000155	ENSGALG00000019276.5	Nana27598-RA
OG0000155	ENSGALG00000031293.2	Nana27600-RA
OG0000156	ENSGALG00000047313.1, ENSGALG00000040120.3	Nana04038-RA, Nana04034-RA, Nana04040-RA, Nana04043-RA, Nana04035-RA, Nana04045-RA, Nana02904-RA
OG0000158	ENSGALG00000002546.6	Nana37069-RA, Nana37069-RB
OG0000158	ENSGALG00000046817.1	Nana14954-RA, Nana39299-RA, Nana37076-RA
OG0000159	ENSGALG00000049450.1	Nana35151-RA, Nana35150-RA, Nana35148-RA
OG0000160	ENSGALG00000051101.1	Nana06954-RA
OG0000162	ENSGALG00000009360.6	Nana01233-RA
OG0000162	ENSGALG00000009382.7	Nana01232-RB
OG0000162	ENSGALG00000010186.7	Nana01383-RB, Nana01383-RC, Nana01383-RA
OG0000162	ENSGALG00000041685.2	Nana35924-RA
OG0000163	ENSGALG00000015799.6	Nana11460-RA, Nana14489-RA
OG0000164	ENSGALG00000016690.7, ENSGALG00000046639.2	Nana02902-RA, Nana02891-RB, Nana02893-RA, Nana02894-RB, Nana02894-RA, Nana02901-RA, Nana02890-RD, Nana02890-RC, Nana02890-RB
OG0000169	ENSGALG00000030280.3	Nana16688-RB, Nana16688-RC, Nana16688-RA
OG0000169	ENSGALG00000003800.6	Nana29768-RA
OG0000169	ENSGALG00000004123.6	Nana13679-RA
OG0000171	ENSGALG00000020160.5, ENSGALG00000054856.1	Nana17788-RA, Nana17787-RA
OG0000171	ENSGALG00000030614.2	Nana17789-RA
OG0000172	ENSGALG00000006097.5	Nana08296-RA, Nana14058-RA
OG0000172	ENSGALG00000006473.5	Nana27786-RA
OG0000174	ENSGALG00000032385.2	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD
OG0000174	ENSGALG00000040369.2	Nana27734-RA
OG0000174	ENSGALG00000002099.6	Nana39652-RA, Nana39652-RB, Nana08485-RD, Nana08485-RC, Nana08485-RB
OG0000179	ENSGALG00000045194.2, ENSGALG00000003557.7	Nana19279-RA, Nana19294-RA
OG0000179	ENSGALG00000006378.6	Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA
OG0000181	ENSGALG00000044962.2	Nana14994-RA, Nana29724-RA, Nana27985-RA
OG0000183	ENSGALG00000011350.7	Nana14703-RA
OG0000183	ENSGALG00000040620.3	Nana24962-RA
OG0000183	ENSGALG00000001437.6	Nana28668-RA, Nana28665-RA
OG0000184	ENSGALG00000014875.7	Nana12380-RA
OG0000184	ENSGALG00000033653.2	Nana36072-RA
OG0000184	ENSGALG00000001342.6	Nana06340-RA
OG0000185	ENSGALG00000005393.6	Nana21120-RA
OG0000185	ENSGALG00000043476.2, ENSGALG00000005622.6	Nana08360-RA
OG0000186	ENSGALG00000015531.6	Nana18448-RA
OG0000186	ENSGALG00000010471.6	Nana19444-RA
OG0000186	ENSGALG00000000235.6	Nana09006-RA
OG0000187	ENSGALG00000016485.6	Nana02631-RA
OG0000187	ENSGALG00000001569.6	Nana14009-RA
OG0000187	ENSGALG00000003806.7	Nana08636-RA
OG0000188	ENSGALG00000037253.2	Nana10451-RA, Nana10448-RA, Nana10449-RA
OG0000193	ENSGALG00000004901.7	Nana34739-RA, Nana34739-RB
OG0000193	ENSGALG00000033300.2	Nana04026-RB, Nana04026-RA
OG0000194	ENSGALG00000029260.2	Nana04300-RA
OG0000194	ENSGALG00000026692.3	Nana13959-RA
OG0000195	ENSGALG00000053189.1, ENSGALG00000054778.1	Nana38858-RA, Nana07067-RA, Nana08012-RA, Nana24593-RA, Nana06496-RA, Nana22476-RA, Nana00681-RA, Nana06948-RA, Nana22451-RA, Nana08544-RA, Nana22193-RA, Nana23416-RA, Nana15132-RA, Nana12292-RA, Nana35597-RA, Nana38009-RA, Nana39659-RA, Nana11511-RA, Nana39808-RA, Nana22419-RA, Nana39474-RA, Nana38857-RA, Nana10488-RA, Nana24469-RA, Nana00434-RA, Nana17430-RA, Nana24008-RA, Nana39397-RA, Nana15133-RA, Nana18713-RA, Nana23375-RA
OG0000197	ENSGALG00000030065.3	Nana18220-RA
OG0000197	ENSGALG00000001768.6	Nana09163-RA
OG0000197	ENSGALG00000033966.2	Nana25443-RA
OG0000197	ENSGALG00000008442.6	Nana32135-RA
OG0000198	ENSGALG00000039713.2	Nana29992-RA
OG0000198	ENSGALG00000043711.3	Nana29987-RA
OG0000198	ENSGALG00000040957.2	Nana17024-RD, Nana17024-RB
OG0000199	ENSGALG00000032247.2	Nana10999-RB, Nana10999-RA, Nana10997-RD, Nana10997-RB, Nana10997-RC
OG0000200	ENSGALG00000015107.6	Nana11623-RA
OG0000200	ENSGALG00000027372.3	Nana36320-RH, Nana36320-RG, Nana36320-RJ, Nana36320-RE, Nana36320-RC, Nana36320-RD, Nana36320-RB
OG0000201	ENSGALG00000001319.6	Nana14043-RA
OG0000201	ENSGALG00000029912.2	Nana07920-RC
OG0000202	ENSGALG00000047979.1	Nana19477-RA, Nana28348-RA
OG0000203	ENSGALG00000014727.6	Nana12325-RA
OG0000203	ENSGALG00000011094.6	Nana14670-RA
OG0000204	ENSGALG00000003536.6	Nana22989-RJ, Nana22989-RG, Nana22989-RH, Nana22989-RI, Nana22989-RK, Nana22993-RM, Nana22993-RK, Nana22993-RL, Nana22993-RJ, Nana22993-RI, Nana22995-RA, Nana22989-RA, Nana22989-RE, Nana22989-RD, Nana22989-RF, Nana22989-RC, Nana22993-RD, Nana22993-RC, Nana22993-RA, Nana22993-RB, Nana22993-RE, Nana22993-RF, Nana22993-RH, Nana22989-RB, Nana22997-RA, Nana22989-RM
OG0000205	ENSGALG00000045085.2	Nana19313-RA, Nana19312-RA, Nana19314-RA, Nana19315-RA
OG0000212	ENSGALG00000004649.5	Nana00145-RA
OG0000212	ENSGALG00000004519.7	Nana00135-RA
OG0000213	ENSGALG00000041042.2	Nana26049-RA
OG0000213	ENSGALG00000020292.5	Nana26050-RA, Nana09216-RA, Nana26052-RA
OG0000213	ENSGALG00000038042.2	Nana09215-RA
OG0000214	ENSGALG00000022137.3, ENSGALG00000039887.2	Nana35941-RA, Nana35936-RA
OG0000216	ENSGALG00000025842.4	Nana12893-RF, Nana12893-RE, Nana12893-RD
OG0000217	ENSGALG00000005621.7	Nana17917-RA, Nana28484-RA, Nana18823-RA, Nana08830-RA
OG0000218	ENSGALG00000004809.4	Nana19003-RA
OG0000219	ENSGALG00000050515.1	Nana24213-RB, Nana24213-RA, Nana24211-RA, Nana24210-RA, Nana24209-RA, Nana39539-RA, Nana24208-RA, Nana24207-RA
OG0000220	ENSGALG00000050047.1	Nana07784-RA
OG0000220	ENSGALG00000052089.1	Nana07713-RA, Nana07713-RB
OG0000221	ENSGALG00000016271.5	Nana02364-RA
OG0000221	ENSGALG00000040969.2	Nana17042-RE, Nana17042-RD, Nana17042-RA, Nana17042-RB, Nana17042-RC
OG0000222	ENSGALG00000034438.2	Nana11085-RA
OG0000222	ENSGALG00000008983.6	Nana20656-RA
OG0000223	ENSGALG00000029190.3	Nana20407-RB, Nana20407-RA
OG0000223	ENSGALG00000016890.7	Nana26323-RA
OG0000223	ENSGALG00000053597.1	Nana32618-RA, Nana32618-RB
OG0000224	ENSGALG00000004848.7	Nana37623-RA
OG0000226	ENSGALG00000012010.6	Nana18637-RA
OG0000226	ENSGALG00000005107.6	Nana18820-RA
OG0000226	ENSGALG00000004581.5	Nana08824-RA
OG0000227	ENSGALG00000028520.4	Nana15538-RA
OG0000228	ENSGALG00000051737.1, ENSGALG00000000107.5	Nana07844-RA
OG0000228	ENSGALG00000019835.5, ENSGALG00000030397.2	Nana07842-RA
OG0000229	ENSGALG00000005678.7	Nana08354-RA, Nana08354-RB
OG0000230	ENSGALG00000006322.6	Nana14830-RA
OG0000231	ENSGALG00000048579.1	Nana22724-RA
OG0000232	ENSGALG00000006717.7	Nana04337-RA
OG0000232	ENSGALG00000031737.2	Nana04336-RA
OG0000235	ENSGALG00000033183.2	Nana32730-RA
OG0000235	ENSGALG00000029392.3	Nana26056-RA, Nana09225-RA
OG0000236	ENSGALG00000036044.2, ENSGALG00000054835.1	Nana04020-RA, Nana04017-RA
OG0000236	ENSGALG00000004763.6	Nana00165-RA
OG0000237	ENSGALG00000029261.3	Nana00862-RB
OG0000237	ENSGALG00000045424.2	Nana35961-RA
OG0000238	ENSGALG00000002080.6	Nana09145-RA
OG0000238	ENSGALG00000000311.6	Nana28341-RB, Nana28341-RA
OG0000238	ENSGALG00000042259.2	Nana19499-RA
OG0000239	ENSGALG00000002742.6	Nana35381-RA
OG0000239	ENSGALG00000002671.6	Nana35349-RA
OG0000240	ENSGALG00000026098.3, ENSGALG00000011668.4	Nana22799-RA
OG0000241	ENSGALG00000012610.7	Nana11741-RA
OG0000241	ENSGALG00000004252.6	Nana06412-RA, Nana06410-RA
OG0000242	ENSGALG00000011360.7	Nana03921-RA, Nana03921-RB
OG0000242	ENSGALG00000006219.7	Nana21215-RB, Nana21215-RA
OG0000242	ENSGALG00000036282.2	Nana10104-RA
OG0000243	ENSGALG00000030068.2	Nana06066-RA
OG0000244	ENSGALG00000019061.5	Nana25243-RA
OG0000244	ENSGALG00000019063.5	Nana25241-RA
OG0000244	ENSGALG00000026297.3	Nana25242-RA
OG0000248	ENSGALG00000034855.2	Nana27998-RA, Nana27998-RC, Nana27998-RB
OG0000248	ENSGALG00000021039.5	Nana19163-RA
OG0000248	ENSGALG00000004222.7	Nana19165-RE, Nana19165-RG, Nana19165-RF
OG0000249	ENSGALG00000048592.1	Nana30900-RA, Nana30900-RB
OG0000249	ENSGALG00000011209.4	Nana05664-RA, Nana05665-RA
OG0000249	ENSGALG00000009303.7	Nana01260-RA
