Orthogroup	G_gallus.pep	H_sapiens.pep
OG0000034	ENSGALG00000041471.2	ENSG00000229684.10, ENSG00000232421.10, ENSG00000196230.13, ENSG00000235067.10, ENSG00000227739.10, ENSG00000224156.10, ENSG00000232575.10, ENSG00000183311.16
OG0000034	ENSGALG00000008586.5	ENSG00000188229.6
OG0000034	ENSGALG00000054420.1	ENSG00000137267.6
OG0000034	ENSGALG00000031275.3	ENSG00000176014.13
OG0000034	ENSGALG00000000059.6	ENSG00000258947.7
OG0000034	ENSGALG00000007447.5	ENSG00000101162.4
OG0000042	ENSGALG00000028565.3, ENSGALG00000052936.1	ENSG00000254221.2, ENSG00000262209.3, ENSG00000253910.2, ENSG00000276547.1, ENSG00000253953.2, ENSG00000253305.2, ENSG00000254122.2
OG0000050	ENSGALG00000011622.4	ENSG00000130368.6
OG0000051	ENSGALG00000011009.6	ENSG00000136531.17
OG0000051	ENSGALG00000010943.7	ENSG00000144285.21
OG0000051	ENSGALG00000011040.6	ENSG00000153253.18
OG0000051	ENSGALG00000027793.3	ENSG00000169432.17
OG0000051	ENSGALG00000034427.2	ENSG00000007314.12
OG0000051	ENSGALG00000027702.3, ENSGALG00000006072.8, ENSGALG00000006112.6	ENSG00000183873.16
OG0000051	ENSGALG00000043728.2	ENSG00000196876.17
OG0000055	ENSGALG00000041229.2	ENSG00000206517.12, ENSG00000232289.8, ENSG00000223898.8, ENSG00000234347.8, ENSG00000237258.8, ENSG00000230780.8, ENSG00000206472.11, ENSG00000204694.11
OG0000056	ENSGALG00000046083.2, ENSGALG00000043142.2, ENSGALG00000045614.2	ENSG00000239389.8, ENSG00000250120.8, ENSG00000081842.18, ENSG00000204962.6, ENSG00000251664.5, ENSG00000249158.6, ENSG00000204967.12, ENSG00000204963.6, ENSG00000204961.6, ENSG00000255408.4, ENSG00000204969.7, ENSG00000204970.9, ENSG00000204965.9
OG0000059	ENSGALG00000028749.4	ENSG00000184009.12
OG0000059	ENSGALG00000009621.7	ENSG00000075624.16
OG0000059	ENSGALG00000011086.6	ENSG00000143632.14
OG0000059	ENSGALG00000006343.6	ENSG00000107796.13
OG0000061	ENSGALG00000049665.1	ENSG00000110848.8
OG0000061	ENSGALG00000045540.2, ENSGALG00000042611.3, ENSGALG00000050315.1, ENSGALG00000053510.1, ENSGALG00000042449.2, ENSGALG00000042684.2, ENSGALG00000044598.2, ENSGALG00000047623.1, ENSGALG00000044630.2, ENSGALG00000050091.1, ENSGALG00000044569.2, ENSGALG00000047794.1, ENSGALG00000052376.1, ENSGALG00000051297.1, ENSGALG00000042023.3, ENSGALG00000051677.1, ENSGALG00000028659.2	ENSG00000110852.4, ENSG00000188393.9, ENSG00000069493.15
OG0000062	ENSGALG00000002931.6	ENSG00000134193.15
OG0000063	ENSGALG00000015062.5	ENSG00000184995.7, ENSG00000147873.5, ENSG00000120235.4, ENSG00000233816.3, ENSG00000197919.6, ENSG00000228083.3, ENSG00000214042.1, ENSG00000186803.3, ENSG00000234829.4, ENSG00000236637.4, ENSG00000137080.4, ENSG00000147885.4, ENSG00000120242.4, ENSG00000188379.7, ENSG00000177047.6
OG0000065	ENSGALG00000010969.6	ENSG00000165953.9
OG0000065	ENSGALG00000046409.2, ENSGALG00000020390.5, ENSGALG00000020388.5, ENSGALG00000023070.3	ENSG00000170054.14, ENSG00000100665.12, ENSG00000196136.18, ENSG00000258597.3, ENSG00000274821.4, ENSG00000277377.4, ENSG00000197249.14
OG0000069	ENSGALG00000034988.3	ENSG00000135437.9
OG0000069	ENSGALG00000034701.2, ENSGALG00000041909.2	ENSG00000139547.7, ENSG00000025423.11
OG0000072	ENSGALG00000048258.1	ENSG00000197901.11, ENSG00000149452.16
OG0000072	ENSGALG00000001661.5	ENSG00000137204.14
OG0000073	ENSGALG00000006512.6	ENSG00000109971.14
OG0000074	ENSGALG00000046716.1, ENSGALG00000050594.1, ENSGALG00000048265.1, ENSGALG00000054335.1, ENSGALG00000047647.1, ENSGALG00000054324.1	ENSG00000129437.10
OG0000074	ENSGALG00000054992.1, ENSGALG00000032796.3, ENSGALG00000051751.1	ENSG00000010438.16, ENSG00000204983.14, ENSG00000274247.4, ENSG00000282049.1, ENSG00000275896.5
OG0000077	ENSGALG00000034124.3	ENSG00000142405.21, ENSG00000162711.17
OG0000077	ENSGALG00000006904.6	ENSG00000276230.4, ENSG00000023191.17
OG0000079	ENSGALG00000014750.7	ENSG00000211746.3, ENSG00000282621.1, ENSG00000282730.1, ENSG00000211750.2, ENSG00000281963.1, ENSG00000282499.1, ENSG00000282812.1, ENSG00000211753.4, ENSG00000282610.1, ENSG00000282134.1, ENSG00000253534.1, ENSG00000282470.1, ENSG00000253188.1, ENSG00000277110.3, ENSG00000211721.2, ENSG00000211724.3, ENSG00000282459.1, ENSG00000281970.1, ENSG00000211706.2, ENSG00000282240.1, ENSG00000211713.3, ENSG00000282719.1, ENSG00000283063.1, ENSG00000282353.1, ENSG00000282007.1, ENSG00000229769.2, ENSG00000275791.1, ENSG00000282340.1, ENSG00000211717.3, ENSG00000282618.1, ENSG00000211752.3, ENSG00000282234.1
OG0000081	ENSGALG00000034825.2	ENSG00000139610.2
OG0000081	ENSGALG00000004568.6	ENSG00000142615.8, ENSG00000215704.10
OG0000081	ENSGALG00000039406.2	ENSG00000162438.12
OG0000081	ENSGALG00000027189.3	ENSG00000142789.20, ENSG00000219073.8
OG0000083	ENSGALG00000034478.2	ENSG00000277632.2, ENSG00000274221.2, ENSG00000278567.2, ENSG00000277768.2, ENSG00000277336.2, ENSG00000276085.1, ENSG00000277796.2, ENSG00000278006.2, ENSG00000278167.2, ENSG00000275385.2, ENSG00000275824.4, ENSG00000277943.4, ENSG00000276125.4, ENSG00000276070.5, ENSG00000282604.1, ENSG00000275313.5, ENSG00000275302.2, ENSG00000276409.5, ENSG00000277236.4
OG0000085	ENSGALG00000036798.3	ENSG00000187498.16
OG0000085	ENSGALG00000008141.6	ENSG00000188153.13
OG0000085	ENSGALG00000016843.7	ENSG00000134871.19
OG0000085	ENSGALG00000048179.1	ENSG00000197565.16
OG0000085	ENSGALG00000004946.6	ENSG00000081052.13
OG0000085	ENSGALG00000038612.2	ENSG00000169031.20
OG0000086	ENSGALG00000005843.5	ENSG00000101210.12
OG0000087	ENSGALG00000001183.6	ENSG00000133026.12
OG0000087	ENSGALG00000006520.7	ENSG00000276480.5, ENSG00000133392.18
OG0000087	ENSGALG00000043092.2	ENSG00000100345.21
OG0000090	ENSGALG00000050831.1, ENSGALG00000048343.1, ENSGALG00000054822.1	ENSG00000172824.16
OG0000090	ENSGALG00000038923.2	ENSG00000172831.13
OG0000091	ENSGALG00000050544.1, ENSGALG00000054648.1, ENSGALG00000026152.3, ENSGALG00000048325.1, ENSGALG00000043606.2, ENSGALG00000000720.6	ENSG00000183347.14, ENSG00000162654.9, ENSG00000213512.3, ENSG00000162645.13, ENSG00000117226.12, ENSG00000117228.10, ENSG00000154451.14
OG0000092	ENSGALG00000013537.7	ENSG00000143549.21
OG0000092	ENSGALG00000003521.7	ENSG00000140416.22, ENSG00000198467.15
OG0000093	ENSGALG00000030550.3	ENSG00000070961.15
OG0000093	ENSGALG00000003601.6	ENSG00000058668.14
OG0000093	ENSGALG00000030908.2	ENSG00000157087.20
OG0000094	ENSGALG00000013838.6	ENSG00000134007.5, ENSG00000139985.7
OG0000095	ENSGALG00000019755.4	ENSG00000186407.7, ENSG00000284690.2, ENSG00000167851.15, ENSG00000167850.4
OG0000099	ENSGALG00000005256.6	ENSG00000116106.12
OG0000099	ENSGALG00000015593.6	ENSG00000135333.14
OG0000099	ENSGALG00000015403.5	ENSG00000044524.11
OG0000099	ENSGALG00000021567.5	ENSG00000070886.12
OG0000099	ENSGALG00000011680.6	ENSG00000145242.13
OG0000100	ENSGALG00000000357.7	ENSG00000042980.13, ENSG00000134028.14
OG0000101	ENSGALG00000035086.3	ENSG00000092841.18
OG0000101	ENSGALG00000002907.7	ENSG00000168530.16
OG0000101	ENSGALG00000000585.7	ENSG00000198336.9
OG0000101	ENSGALG00000005448.6	ENSG00000160808.11
OG0000102	ENSGALG00000006300.7	ENSG00000166796.12, ENSG00000166800.10, ENSG00000171989.6, ENSG00000288299.1, ENSG00000134333.14
OG0000102	ENSGALG00000035836.3	ENSG00000111716.14, ENSG00000285854.1
OG0000106	ENSGALG00000042011.3	ENSG00000224578.5, ENSG00000139675.12, ENSG00000135486.17
OG0000106	ENSGALG00000009250.6	ENSG00000170144.20
OG0000108	ENSGALG00000004449.5	ENSG00000106258.15, ENSG00000160868.15, ENSG00000282301.2, ENSG00000160870.14, ENSG00000021461.16
OG0000110	ENSGALG00000027255.3	ENSG00000021645.19
OG0000110	ENSGALG00000009107.6	ENSG00000179915.23
OG0000111	ENSGALG00000011476.7	ENSG00000138758.11
OG0000111	ENSGALG00000016811.6	ENSG00000154997.9, ENSG00000186522.15
OG0000111	ENSGALG00000034187.2	ENSG00000164402.14
OG0000111	ENSGALG00000008633.7	ENSG00000125354.23
OG0000112	ENSGALG00000011805.6	ENSG00000278216.3, ENSG00000135220.11, ENSG00000156096.14, ENSG00000171234.14, ENSG00000109181.12, ENSG00000275190.3, ENSG00000213759.10, ENSG00000135226.18, ENSG00000196620.10, ENSG00000197888.2, ENSG00000277132.2, ENSG00000173610.12, ENSG00000271271.5
OG0000113	ENSGALG00000016328.7, ENSGALG00000038652.2, ENSGALG00000028551.4, ENSGALG00000016325.6	ENSG00000243955.6, ENSG00000244067.3, ENSG00000182793.11, ENSG00000174156.15
OG0000113	ENSGALG00000016324.3	ENSG00000170899.11
OG0000115	ENSGALG00000044760.2	ENSG00000179593.16, ENSG00000179148.9, ENSG00000179477.11
OG0000115	ENSGALG00000005857.6	ENSG00000012779.11, ENSG00000275565.4
OG0000116	ENSGALG00000051754.1, ENSGALG00000003690.7	ENSG00000186832.9, ENSG00000186847.6, ENSG00000128422.17
OG0000116	ENSGALG00000019718.6	ENSG00000186395.8, ENSG00000171401.15, ENSG00000171346.16
OG0000116	ENSGALG00000019719.5	ENSG00000171345.13
OG0000119	ENSGALG00000001262.7	ENSG00000169504.15
OG0000119	ENSGALG00000016020.7	ENSG00000159212.12
OG0000119	ENSGALG00000016707.6	ENSG00000112782.19
OG0000120	ENSGALG00000011783.3, ENSGALG00000031874.2, ENSGALG00000031159.2	ENSG00000187475.5, ENSG00000124610.4, ENSG00000168298.6, ENSG00000124575.6, ENSG00000184357.4, ENSG00000187837.3
OG0000122	ENSGALG00000042358.2, ENSGALG00000044048.2	ENSG00000251608.2, ENSG00000227446.2, ENSG00000225247.4, ENSG00000280236.3, ENSG00000233481.4, ENSG00000204690.6, ENSG00000235966.4, ENSG00000204692.9, ENSG00000224487.8, ENSG00000251394.6, ENSG00000250364.6, ENSG00000112462.8, ENSG00000242022.8
OG0000126	ENSGALG00000012575.6	ENSG00000196781.16
OG0000126	ENSGALG00000015184.6	ENSG00000106829.19
OG0000126	ENSGALG00000008120.7	ENSG00000140332.16
OG0000127	ENSGALG00000039048.2	ENSG00000170265.12
OG0000127	ENSGALG00000034903.2	ENSG00000170260.9
OG0000127	ENSGALG00000044014.2, ENSGALG00000038657.3	ENSG00000197024.9, ENSG00000181220.17, ENSG00000204946.10
OG0000128	ENSGALG00000003196.6, ENSGALG00000027165.4, ENSGALG00000011455.5	ENSG00000259171.1
OG0000129	ENSGALG00000037889.2	ENSG00000196090.12
OG0000129	ENSGALG00000031284.2	ENSG00000173482.16
OG0000129	ENSGALG00000031440.2	ENSG00000060656.20
OG0000129	ENSGALG00000037423.2	ENSG00000152894.14, ENSG00000273993.4
OG0000130	ENSGALG00000002413.6	ENSG00000101489.20, ENSG00000159409.15, ENSG00000273025.1, ENSG00000140488.16
OG0000131	ENSGALG00000004394.6	ENSG00000183570.16
OG0000135	ENSGALG00000006152.6, ENSGALG00000025778.4, ENSGALG00000029485.2	ENSG00000125900.13, ENSG00000101307.15, ENSG00000089012.14, ENSG00000198053.11, ENSG00000260861.6
OG0000136	ENSGALG00000016406.6	ENSG00000177189.14
OG0000136	ENSGALG00000011473.6	ENSG00000071242.12
OG0000136	ENSGALG00000037136.2	ENSG00000117676.14, ENSG00000281877.3
OG0000136	ENSGALG00000007097.6	ENSG00000072133.11
OG0000137	ENSGALG00000009700.7	ENSG00000004799.8
OG0000137	ENSGALG00000045846.2	ENSG00000005882.12
OG0000137	ENSGALG00000016323.5	ENSG00000067992.15
OG0000137	ENSGALG00000013235.5	ENSG00000152256.13
OG0000138	ENSGALG00000006477.7	ENSG00000105993.15
OG0000143	ENSGALG00000001633.7	ENSG00000133878.9
OG0000143	ENSGALG00000005007.6, ENSGALG00000005017.6	ENSG00000079393.20
OG0000143	ENSGALG00000005019.5	ENSG00000188716.5, ENSG00000281660.1
OG0000144	ENSGALG00000053964.1, ENSGALG00000029857.2	ENSG00000106560.11, ENSG00000213203.3
OG0000147	ENSGALG00000010490.8	ENSG00000151640.13
OG0000147	ENSGALG00000041203.3	ENSG00000072832.15
OG0000147	ENSGALG00000007582.6	ENSG00000113657.13
OG0000147	ENSGALG00000000227.7	ENSG00000092964.18
OG0000149	ENSGALG00000036496.2	ENSG00000130402.12, ENSG00000282844.2
OG0000149	ENSGALG00000014463.7	ENSG00000077522.13
OG0000149	ENSGALG00000042458.3	ENSG00000072110.13
OG0000150	ENSGALG00000042446.2	ENSG00000183549.10
OG0000150	ENSGALG00000029827.2	ENSG00000215009.5, ENSG00000066813.14, ENSG00000183747.12, ENSG00000166743.9
OG0000151	ENSGALG00000010469.7	ENSG00000187048.13, ENSG00000162365.12
OG0000152	ENSGALG00000052243.1, ENSGALG00000047199.1, ENSGALG00000005795.6, ENSGALG00000049414.1	ENSG00000108242.13, ENSG00000276490.1, ENSG00000138109.11, ENSG00000165841.11, ENSG00000138115.14
OG0000153	ENSGALG00000014442.7	ENSG00000111640.15
OG0000154	ENSGALG00000006575.5	ENSG00000106018.14
OG0000154	ENSGALG00000012106.6	ENSG00000080293.9
OG0000154	ENSGALG00000005259.6	ENSG00000114812.13
OG0000154	ENSGALG00000005242.7, ENSGALG00000000274.7, ENSGALG00000005212.5	ENSG00000106128.19
OG0000155	ENSGALG00000019277.5	ENSG00000134538.3, ENSG00000205754.11, ENSG00000257046.5, ENSG00000111700.12
OG0000155	ENSGALG00000019276.5, ENSGALG00000031293.2	ENSG00000084453.16
OG0000155	ENSGALG00000013154.5	ENSG00000139155.8
OG0000156	ENSGALG00000047313.1, ENSGALG00000040120.3	ENSG00000149124.11, ENSG00000156689.7, ENSG00000166840.13, ENSG00000255151.2, ENSG00000203972.10
OG0000158	ENSGALG00000002546.6	ENSG00000130635.16
OG0000158	ENSGALG00000005180.7, ENSGALG00000046817.1	ENSG00000060718.22
OG0000159	ENSGALG00000049450.1	ENSG00000128322.7, ENSG00000254709.8, ENSG00000211685.3, ENSG00000211675.2, ENSG00000211677.2, ENSG00000211679.2
OG0000160	ENSGALG00000051101.1	ENSG00000226260.9, ENSG00000230726.9, ENSG00000228987.9, ENSG00000227993.9, ENSG00000277263.1, ENSG00000204287.14, ENSG00000206308.11, ENSG00000234794.9
OG0000162	ENSGALG00000009360.6	ENSG00000162909.18
OG0000162	ENSGALG00000009382.7	ENSG00000203697.12
OG0000162	ENSGALG00000010186.7	ENSG00000137225.13
OG0000162	ENSGALG00000041685.2	ENSG00000014216.15
OG0000163	ENSGALG00000010533.7	ENSG00000162374.17
OG0000163	ENSGALG00000015799.6	ENSG00000107105.15
OG0000169	ENSGALG00000030280.3	ENSG00000151846.8, ENSG00000070756.16
OG0000169	ENSGALG00000003800.6	ENSG00000090621.14
OG0000169	ENSGALG00000004123.6	ENSG00000101104.12
OG0000171	ENSGALG00000030614.2	ENSG00000187758.8, ENSG00000248144.6, ENSG00000196616.14, ENSG00000196344.11
OG0000172	ENSGALG00000006097.5	ENSG00000114554.11
OG0000172	ENSGALG00000001264.6	ENSG00000076356.7
OG0000172	ENSGALG00000006473.5	ENSG00000221866.9
OG0000173	ENSGALG00000040256.2	ENSG00000176406.23
OG0000174	ENSGALG00000032385.2	ENSG00000158571.11
OG0000174	ENSGALG00000040369.2	ENSG00000170525.21
OG0000174	ENSGALG00000002099.6	ENSG00000114268.12
OG0000179	ENSGALG00000045194.2, ENSGALG00000003557.7	ENSG00000204021.4, ENSG00000182333.14, ENSG00000173239.14
OG0000179	ENSGALG00000006378.6	ENSG00000107798.18
OG0000181	ENSGALG00000044962.2, ENSGALG00000021598.5, ENSGALG00000049664.1, ENSGALG00000041400.3	ENSG00000204518.2, ENSG00000188984.12
OG0000183	ENSGALG00000011350.7	ENSG00000172260.15
OG0000183	ENSGALG00000040620.3	ENSG00000185565.12
OG0000183	ENSGALG00000001442.7	ENSG00000183715.13
OG0000183	ENSGALG00000001437.6	ENSG00000182667.14
OG0000184	ENSGALG00000014875.7	ENSG00000164588.8
OG0000184	ENSGALG00000033653.2	ENSG00000143630.10, ENSG00000263324.5
OG0000184	ENSGALG00000001342.6	ENSG00000099822.3
OG0000185	ENSGALG00000043476.2	ENSG00000004059.11
OG0000185	ENSGALG00000005622.6	ENSG00000168374.11
OG0000186	ENSGALG00000015531.6	ENSG00000074211.14
OG0000186	ENSGALG00000007565.7	ENSG00000156475.18
OG0000186	ENSGALG00000010471.6	ENSG00000175470.20
OG0000186	ENSGALG00000000235.6	ENSG00000221914.11
OG0000187	ENSGALG00000016485.6	ENSG00000143878.10
OG0000187	ENSGALG00000003806.7	ENSG00000067560.12
OG0000188	ENSGALG00000037253.2	ENSG00000104938.17, ENSG00000090659.18
OG0000193	ENSGALG00000004901.7	ENSG00000110880.10
OG0000193	ENSGALG00000033300.2	ENSG00000172725.14
OG0000194	ENSGALG00000029260.2	ENSG00000174775.17, ENSG00000276536.4
