GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term
GO:0016192,5.83E-05,1.705835413,47.12910869,74,1606,vesicle-mediated transport
GO:0000097,7.12E-05,15.181628,0.469530348,5,16,sulfur amino acid biosynthetic process
GO:0006901,8.61E-05,7.816666667,1.08578893,7,37,vesicle coating
GO:0006575,0.000147381,3.129655531,5.546327237,16,189,cellular modified amino acid metabolic process
GO:1901566,0.000151209,1.632311776,51.06142536,77,1740,organonitrogen compound biosynthetic process
GO:0010256,0.000174405,2.334999424,11.91433258,26,406,endomembrane system organization
GO:0071447,0.000205122,19.05040262,0.322802114,4,11,cellular response to hydroperoxide
GO:1902275,0.00020564,3.168269231,5.135488183,15,175,regulation of chromatin organization
GO:0071265,0.000240331,49.91875,0.146728234,3,5,L-methionine biosynthetic process
GO:0044237,0.000261717,1.401702851,281.8355915,319,9604,cellular metabolic process
GO:0048199,0.000268321,6.335055644,1.291208457,7,44,"vesicle targeting, to, from or within Golgi"
GO:0045940,0.000293824,10.43410042,0.616258582,5,21,positive regulation of steroid metabolic process
GO:0045176,0.000300566,16.66805846,0.352147761,4,12,apical protein localization
GO:0033044,0.000407875,2.432981694,9.214533082,21,314,regulation of chromosome organization
GO:0048207,0.000413912,7.164420485,0.99775199,6,34,"vesicle targeting, rough ER to cis-Golgi"
GO:0048208,0.000413912,7.164420485,0.99775199,6,34,COPII vesicle coating
GO:0006767,0.000542998,4.787969925,1.878121393,8,64,water-soluble vitamin metabolic process
GO:0050667,0.000580058,13.33277662,0.410839055,4,14,homocysteine metabolic process
GO:0045454,0.0006036,4.703674977,1.907467039,8,65,cell redox homeostasis
GO:0070059,0.0006036,4.703674977,1.907467039,8,65,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
GO:0043603,0.000610569,1.740038193,28.72938818,47,979,cellular amide metabolic process
GO:0006457,0.000652897,2.812678063,5.722401118,15,195,protein folding
GO:0043039,0.00067943,5.32486631,1.496627985,7,51,tRNA aminoacylation
GO:0006418,0.00067943,5.32486631,1.496627985,7,51,tRNA aminoacylation for protein translation
GO:0008286,0.000703758,3.456340092,3.462786318,11,118,insulin receptor signaling pathway
GO:0006890,0.000741183,4.543657449,1.966158333,8,67,"retrograde vesicle-mediated transport, Golgi to ER"
GO:0043038,0.000765595,5.20620915,1.525973631,7,52,amino acid activation
GO:0044267,0.00076631,1.372571833,137.0148247,169,4669,cellular protein metabolic process
GO:2000601,0.000804888,24.95625,0.205419527,3,7,positive regulation of Arp2/3 complex-mediated actin nucleation
GO:0006850,0.000859436,Inf,0.058691294,2,2,mitochondrial pyruvate transmembrane transport
GO:0006413,0.000929674,3.330947473,3.580168905,11,122,translational initiation
GO:0048194,0.000963732,4.984042553,1.584664925,7,54,Golgi vesicle budding
GO:1901575,0.000980116,1.513929459,55.19916155,78,1881,organic substance catabolic process
GO:0006986,0.000983429,3.105536502,4.16708184,12,142,response to unfolded protein
GO:0008152,0.000985258,1.364936825,305.6055653,338,10414,metabolic process
GO:0035966,0.000995722,2.93804084,4.753994775,13,162,response to topologically incorrect protein
GO:0045834,0.001063352,3.271580171,3.638860198,11,124,positive regulation of lipid metabolic process
GO:0044248,0.001085351,1.49721183,57.986998,81,1976,cellular catabolic process
GO:0090114,0.001163665,5.729020665,1.203171517,6,41,COPII-coated vesicle budding
GO:0043401,0.001178636,2.879507279,4.842031715,13,165,steroid hormone mediated signaling pathway
GO:0030518,0.001192908,3.460909745,3.139984203,10,107,intracellular steroid hormone receptor signaling pathway
GO:0007030,0.001212501,3.214277819,3.697551492,11,126,Golgi organization
GO:1990416,0.001259811,19.96375,0.234765174,3,8,cellular response to brain-derived neurotrophic factor stimulus
GO:1900038,0.001259811,19.96375,0.234765174,3,8,negative regulation of cellular response to hypoxia
GO:0006089,0.001286014,10.25405492,0.498875995,4,17,lactate metabolic process
GO:0033194,0.001286014,10.25405492,0.498875995,4,17,response to hydroperoxide
GO:0034620,0.001374307,3.390565272,3.198675497,10,109,cellular response to unfolded protein
GO:0035967,0.001378448,3.158934521,3.756242785,11,128,cellular response to topologically incorrect protein
GO:1901564,0.001409928,1.327452202,184.8188833,217,6298,organonitrogen compound metabolic process
GO:0001881,0.001413236,6.952580195,0.851023756,5,29,receptor recycling
GO:0071354,0.001413236,6.952580195,0.851023756,5,29,cellular response to interleukin-6
GO:1905269,0.001473076,3.356448203,3.228021143,10,110,positive regulation of chromatin organization
GO:1901607,0.001479724,4.591983852,1.702047512,7,58,alpha-amino acid biosynthetic process
GO:0071704,0.001581395,1.335729893,289.4654596,321,9864,organic substance metabolic process
GO:0009056,0.001584544,1.448491658,66.64396379,90,2271,catabolic process
GO:0046395,0.001605566,2.465088538,6.896226988,16,235,carboxylic acid catabolic process
GO:0016054,0.001605566,2.465088538,6.896226988,16,235,organic acid catabolic process
GO:0071514,0.00161543,9.521025947,0.528221642,4,18,genetic imprinting
GO:0009058,0.001623418,1.327275975,167.8277538,199,5719,biosynthetic process
GO:0006620,0.001848678,16.63541667,0.264110821,3,9,posttranslational protein targeting to endoplasmic reticulum membrane
GO:0016601,0.001909836,5.140138687,1.320554104,6,45,Rac protein signal transduction
GO:1902235,0.001926941,6.416961699,0.90971505,5,31,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0006903,0.002189287,4.256951872,1.819430099,7,62,vesicle targeting
GO:0043112,0.002200192,2.801132343,4.577920894,12,156,receptor metabolic process
GO:2000254,0.00252807,66.42411642,0.08803694,2,3,regulation of male germ cell proliferation
GO:0035494,0.00252807,66.42411642,0.08803694,2,3,SNARE complex disassembly
GO:1905936,0.00252807,66.42411642,0.08803694,2,3,regulation of germ cell proliferation
GO:0006425,0.00252807,66.42411642,0.08803694,2,3,glutaminyl-tRNA aminoacylation
GO:0006434,0.00252807,66.42411642,0.08803694,2,3,seryl-tRNA aminoacylation
GO:1903297,0.00252807,66.42411642,0.08803694,2,3,regulation of hypoxia-induced intrinsic apoptotic signaling pathway
GO:1903298,0.00252807,66.42411642,0.08803694,2,3,negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway
GO:0070741,0.002565234,5.957860132,0.968406343,5,33,response to interleukin-6
GO:0044238,0.002602092,1.310644939,278.8129899,309,9501,primary metabolic process
GO:0043412,0.00264692,1.34023924,116.1794155,143,3959,macromolecule modification
GO:0006807,0.002734169,1.304057185,264.6977338,295,9020,nitrogen compound metabolic process
GO:0030968,0.002873613,3.278205834,2.963910323,9,101,endoplasmic reticulum unfolded protein response
GO:0033013,0.002971455,4.660816147,1.437936691,6,49,tetrapyrrole metabolic process
GO:0031058,0.003072028,3.242752144,2.993255969,9,102,positive regulation of histone modification
GO:0007265,0.003355467,2.023439523,10.91658059,21,372,Ras protein signal transduction
GO:0044249,0.003398879,1.300267593,162.5161917,191,5538,cellular biosynthetic process
GO:1901565,0.003407999,1.553979511,34.59851753,51,1179,organonitrogen compound catabolic process
GO:0000098,0.003475666,12.475,0.322802114,3,11,sulfur amino acid catabolic process
GO:0031056,0.003491927,2.776108704,4.225773133,11,144,regulation of histone modification
GO:0042219,0.003519475,7.403386685,0.645604229,4,22,cellular modified amino acid catabolic process
GO:0032869,0.003708914,2.403289674,6.162585819,14,210,cellular response to insulin stimulus
GO:0043536,0.003791683,5.38028074,1.056443283,5,36,positive regulation of blood vessel endothelial cell migration
GO:0044260,0.003987432,1.283326578,215.8665776,245,7356,cellular macromolecule metabolic process
GO:1990928,0.004018744,4.356029532,1.525973631,6,52,response to amino acid starvation
GO:0008652,0.004031471,3.774667932,2.024849626,7,69,cellular amino acid biosynthetic process
GO:0006900,0.004031471,3.774667932,2.024849626,7,69,vesicle budding from membrane
GO:0006464,0.004216151,1.326601221,109.1658059,134,3720,cellular protein modification process
GO:0036211,0.004216151,1.326601221,109.1658059,134,3720,protein modification process
GO:0006399,0.004651466,2.534471017,5.018105596,12,171,tRNA metabolic process
GO:0006518,0.004803776,1.677557212,21.24624825,34,724,peptide metabolic process
GO:0050873,0.0048123,5.053569164,1.115134577,5,38,brown fat cell differentiation
GO:1901576,0.004840777,1.284648468,165.656176,193,5645,organic substance biosynthetic process
GO:1904253,0.004957861,33.20997921,0.117382587,2,4,positive regulation of bile acid metabolic process
GO:0070859,0.004957861,33.20997921,0.117382587,2,4,positive regulation of bile acid biosynthetic process
GO:1901475,0.004957861,33.20997921,0.117382587,2,4,pyruvate transmembrane transport
GO:0051176,0.004957861,33.20997921,0.117382587,2,4,positive regulation of sulfur metabolic process
GO:1905564,0.004957861,33.20997921,0.117382587,2,4,positive regulation of vascular endothelial cell proliferation
GO:1990144,0.004957861,33.20997921,0.117382587,2,4,intrinsic apoptotic signaling pathway in response to hypoxia
GO:0043102,0.004957861,33.20997921,0.117382587,2,4,amino acid salvage
GO:0019509,0.004957861,33.20997921,0.117382587,2,4,L-methionine salvage from methylthioadenosine
GO:1990592,0.004957861,33.20997921,0.117382587,2,4,protein K69-linked ufmylation
GO:1990564,0.004957861,33.20997921,0.117382587,2,4,protein polyufmylation
GO:0060327,0.004957861,33.20997921,0.117382587,2,4,cytoplasmic actin-based contraction involved in cell motility
GO:0071267,0.004957861,33.20997921,0.117382587,2,4,L-methionine salvage
GO:0002176,0.004957861,33.20997921,0.117382587,2,4,male germ cell proliferation
GO:0036093,0.004957861,33.20997921,0.117382587,2,4,germ cell proliferation
GO:0002638,0.004957861,33.20997921,0.117382587,2,4,negative regulation of immunoglobulin production
GO:0006848,0.004957861,33.20997921,0.117382587,2,4,pyruvate transport
GO:0009063,0.005076012,2.984396541,3.228021143,9,110,cellular amino acid catabolic process
GO:0051186,0.005142387,1.805646232,15.08366243,26,514,cofactor metabolic process
GO:0009896,0.005419142,1.933242507,11.38611094,21,388,positive regulation of catabolic process
GO:1905897,0.005510254,3.545008913,2.142232213,7,73,regulation of response to endoplasmic reticulum stress
GO:0071310,0.005653058,1.379336647,66.9667659,87,2282,cellular response to organic substance
GO:0106074,0.005767007,9.97875,0.381493408,3,13,aminoacyl-tRNA metabolism involved in translational fidelity
GO:0006349,0.005767007,9.97875,0.381493408,3,13,regulation of gene expression by genetic imprinting
GO:0032922,0.005810779,4.006540881,1.643356218,6,56,circadian regulation of gene expression
GO:0045815,0.006013999,4.764196055,1.17382587,5,40,"positive regulation of gene expression, epigenetic"
GO:0072599,0.006337433,3.927734616,1.672701865,6,57,establishment of protein localization to endoplasmic reticulum
GO:0070972,0.00638634,3.440311419,2.200923507,7,75,protein localization to endoplasmic reticulum
GO:0044242,0.006508212,2.322815754,5.898474998,13,201,cellular lipid catabolic process
GO:0016050,0.006644476,1.965768458,10.12424813,19,345,vesicle organization
GO:0019538,0.006659407,1.275176713,155.2091257,181,5289,protein metabolic process
GO:0019218,0.00679005,3.075910466,2.787836442,8,95,regulation of steroid metabolic process
GO:0043604,0.006845453,1.647038669,20.95279179,33,714,amide biosynthetic process
GO:0043462,0.006861368,3.390238704,2.230269154,7,76,regulation of ATPase activity
GO:0072329,0.007151758,2.815982491,3.404095024,9,116,monocarboxylic acid catabolic process
GO:0042659,0.00718163,9.071022727,0.410839055,3,14,regulation of cell fate specification
GO:0046325,0.00718163,9.071022727,0.410839055,3,14,negative regulation of glucose import
GO:0006553,0.00718163,9.071022727,0.410839055,3,14,lysine metabolic process
GO:0006577,0.00718163,9.071022727,0.410839055,3,14,amino-acid betaine metabolic process
GO:1900037,0.00718163,9.071022727,0.410839055,3,14,regulation of cellular response to hypoxia
GO:0033539,0.00718163,9.071022727,0.410839055,3,14,fatty acid beta-oxidation using acyl-CoA dehydrogenase
GO:0032787,0.007348206,1.7130797,17.07916641,28,582,monocarboxylic acid metabolic process
GO:0018279,0.007412409,4.506106525,1.232517164,5,42,protein N-linked glycosylation via asparagine
GO:0043414,0.007421929,2.079088572,8.070052859,16,275,macromolecule methylation
GO:0006605,0.007451167,1.98228969,9.50798955,18,324,protein targeting
GO:0046889,0.007493481,3.77904355,1.731393159,6,59,positive regulation of lipid biosynthetic process
GO:0051650,0.007570077,2.198633003,6.690807461,14,228,establishment of vesicle localization
GO:0043043,0.007681228,1.706696182,17.13785771,28,584,peptide biosynthetic process
GO:0009755,0.007937076,2.261922611,6.045203232,13,206,hormone-mediated signaling pathway
GO:2000650,0.008102881,22.13860014,0.146728234,2,5,negative regulation of sodium ion transmembrane transporter activity
GO:0097056,0.008102881,22.13860014,0.146728234,2,5,selenocysteinyl-tRNA(Sec) biosynthetic process
GO:1902306,0.008102881,22.13860014,0.146728234,2,5,negative regulation of sodium ion transmembrane transport
GO:0071043,0.008102881,22.13860014,0.146728234,2,5,CUT metabolic process
GO:0071034,0.008102881,22.13860014,0.146728234,2,5,CUT catabolic process
GO:0032483,0.008102881,22.13860014,0.146728234,2,5,regulation of Rab protein signal transduction
GO:0071569,0.008102881,22.13860014,0.146728234,2,5,protein ufmylation
GO:0018196,0.008190127,4.387249505,1.261862811,5,43,peptidyl-asparagine modification
GO:0097190,0.008353108,1.712226493,16.46290783,27,561,apoptotic signaling pathway
GO:0030522,0.008509956,2.101495726,7.483139923,15,255,intracellular receptor signaling pathway
GO:1901071,0.008577398,5.550452331,0.821678109,4,28,glucosamine-containing compound metabolic process
GO:0097193,0.008746283,2.039063007,8.216781092,16,280,intrinsic apoptotic signaling pathway
GO:0046459,0.00878385,8.314583333,0.440184701,3,15,short-chain fatty acid metabolic process
GO:0002438,0.00878385,8.314583333,0.440184701,3,15,acute inflammatory response to antigenic stimulus
GO:0010829,0.00878385,8.314583333,0.440184701,3,15,negative regulation of glucose transmembrane transport
GO:2001251,0.008860013,2.713821416,3.521477611,9,120,negative regulation of chromosome organization
GO:0051656,0.009160431,1.807295048,12.70666505,22,433,establishment of organelle localization
GO:0006766,0.009165382,2.907826087,2.934564676,8,100,vitamin metabolic process
GO:0036503,0.009165382,2.907826087,2.934564676,8,100,ERAD pathway
GO:0033554,0.009372856,1.391359469,52.17655994,69,1778,cellular response to stress
GO:0006305,0.009502078,3.575920934,1.819430099,6,62,DNA alkylation
GO:0006306,0.009502078,3.575920934,1.819430099,6,62,DNA methylation
GO:0006487,0.010280044,3.117843137,2.406343034,7,82,protein N-linked glycosylation
GO:0033365,0.010337035,1.583760284,22.39072848,34,763,protein localization to organelle
GO:0034315,0.010578603,7.674519231,0.469530348,3,16,regulation of Arp2/3 complex-mediated actin nucleation
GO:0090312,0.010964918,5.122852096,0.880369403,4,30,positive regulation of protein deacetylation
GO:0006891,0.010964918,5.122852096,0.880369403,4,30,intra-Golgi vesicle-mediated transport
GO:0033143,0.011037639,3.452179571,1.878121393,6,64,regulation of intracellular steroid hormone receptor signaling pathway
GO:0032868,0.011100834,2.032671629,7.717905098,15,263,response to insulin
GO:0071383,0.011183443,2.089684909,7.013609575,14,239,cellular response to steroid hormone stimulus
GO:2001252,0.011285246,2.333163484,4.959414302,11,169,positive regulation of chromosome organization
GO:0043413,0.011569155,2.080306432,7.042955222,14,240,macromolecule glycosylation
GO:0006486,0.011569155,2.080306432,7.042955222,14,240,protein glycosylation
GO:1901264,0.011867745,3.393454856,1.907467039,6,65,carbohydrate derivative transport
GO:1904640,0.011919233,16.6029106,0.176073881,2,6,response to methionine
GO:0061732,0.011919233,16.6029106,0.176073881,2,6,mitochondrial acetyl-CoA biosynthetic process from pyruvate
GO:1905771,0.011919233,16.6029106,0.176073881,2,6,negative regulation of mesodermal cell differentiation
GO:0019585,0.011919233,16.6029106,0.176073881,2,6,glucuronate metabolic process
GO:0031642,0.011919233,16.6029106,0.176073881,2,6,negative regulation of myelination
GO:1905903,0.011919233,16.6029106,0.176073881,2,6,negative regulation of mesoderm formation
GO:0071029,0.011919233,16.6029106,0.176073881,2,6,nuclear ncRNA surveillance
GO:0071046,0.011919233,16.6029106,0.176073881,2,6,nuclear polyadenylation-dependent ncRNA catabolic process
GO:0071033,0.011919233,16.6029106,0.176073881,2,6,nuclear retention of pre-mRNA at the site of transcription
GO:0071035,0.011919233,16.6029106,0.176073881,2,6,nuclear polyadenylation-dependent rRNA catabolic process
GO:0006063,0.011919233,16.6029106,0.176073881,2,6,uronic acid metabolic process
GO:0002864,0.011919233,16.6029106,0.176073881,2,6,regulation of acute inflammatory response to antigenic stimulus
GO:0006578,0.011919233,16.6029106,0.176073881,2,6,amino-acid betaine biosynthetic process
GO:1900376,0.011919233,16.6029106,0.176073881,2,6,regulation of secondary metabolite biosynthetic process
GO:0051648,0.011965163,2.071010586,7.072300869,14,241,vesicle localization
GO:0034641,0.011983334,1.243296297,173.872957,198,5925,cellular nitrogen compound metabolic process
GO:1904357,0.012303877,4.932807547,0.90971505,4,31,negative regulation of telomere maintenance via telomere lengthening
GO:0006450,0.012569872,7.125892857,0.498875995,3,17,regulation of translational fidelity
GO:0080182,0.012569872,7.125892857,0.498875995,3,17,histone H3-K4 trimethylation
GO:1903830,0.012569872,7.125892857,0.498875995,3,17,magnesium ion transmembrane transport
GO:0050810,0.012740861,3.336687631,1.936812686,6,66,regulation of steroid biosynthetic process
GO:0030521,0.012935684,3.875887905,1.408591044,5,48,androgen receptor signaling pathway
GO:0006732,0.013011235,1.828165025,10.82854365,19,369,coenzyme metabolic process
GO:0006612,0.013466047,2.701031366,3.139984203,8,107,protein targeting to membrane
GO:0019216,0.013982083,1.846734854,10.15359378,18,346,regulation of lipid metabolic process
GO:0045047,0.014067983,3.787561811,1.437936691,5,49,protein targeting to ER
GO:0036498,0.014067983,3.787561811,1.437936691,5,49,IRE1-mediated unfolded protein response
GO:0044282,0.014748476,1.835307918,10.21228507,18,348,small molecule catabolic process
GO:0015693,0.01476076,6.650416667,0.528221642,3,18,magnesium ion transport
GO:0019725,0.014958327,1.510025009,25.50136703,37,869,cellular homeostasis
GO:0051173,0.015349554,1.29759889,79.76146789,98,2718,positive regulation of nitrogen compound metabolic process
GO:1901135,0.015443365,1.438147514,34.07029589,47,1161,carbohydrate derivative metabolic process
GO:0070085,0.015525305,1.999491902,7.307066043,14,249,glycosylation
GO:0051640,0.015527207,1.604797914,18.1356097,28,618,organelle localization
GO:0018193,0.015661788,1.436761015,34.09964153,47,1162,peptidyl-amino acid modification
GO:0000101,0.016364971,13.28149688,0.205419527,2,7,sulfur amino acid transport
GO:0022417,0.016364971,13.28149688,0.205419527,2,7,protein maturation by protein folding
GO:0034720,0.016364971,13.28149688,0.205419527,2,7,histone H3-K4 demethylation
GO:0045629,0.016364971,13.28149688,0.205419527,2,7,negative regulation of T-helper 2 cell differentiation
GO:0070814,0.016364971,13.28149688,0.205419527,2,7,hydrogen sulfide biosynthetic process
GO:1901858,0.016364971,13.28149688,0.205419527,2,7,regulation of mitochondrial DNA metabolic process
GO:0046886,0.016364971,13.28149688,0.205419527,2,7,positive regulation of hormone biosynthetic process
GO:1905770,0.016364971,13.28149688,0.205419527,2,7,regulation of mesodermal cell differentiation
GO:0043418,0.016364971,13.28149688,0.205419527,2,7,homocysteine catabolic process
GO:0019626,0.016364971,13.28149688,0.205419527,2,7,short-chain fatty acid catabolic process
GO:1905902,0.016364971,13.28149688,0.205419527,2,7,regulation of mesoderm formation
GO:0043634,0.016364971,13.28149688,0.205419527,2,7,polyadenylation-dependent ncRNA catabolic process
GO:0071362,0.016364971,13.28149688,0.205419527,2,7,cellular response to ether
GO:0009403,0.016364971,13.28149688,0.205419527,2,7,toxin biosynthetic process
GO:0032790,0.016364971,13.28149688,0.205419527,2,7,ribosome disassembly
GO:0006041,0.016364971,13.28149688,0.205419527,2,7,glucosamine metabolic process
GO:0036491,0.016364971,13.28149688,0.205419527,2,7,regulation of translation initiation in response to endoplasmic reticulum stress
GO:0036492,0.016364971,13.28149688,0.205419527,2,7,eiF2alpha phosphorylation in response to endoplasmic reticulum stress
GO:0006166,0.016364971,13.28149688,0.205419527,2,7,purine ribonucleoside salvage
GO:0061087,0.016364971,13.28149688,0.205419527,2,7,positive regulation of histone H3-K27 methylation
GO:0006749,0.016528237,3.622430417,1.496627985,5,51,glutathione metabolic process
GO:0006412,0.016819294,1.623179378,16.63898171,26,567,translation
GO:0050996,0.017153551,6.234375,0.557567288,3,19,positive regulation of lipid catabolic process
GO:0006491,0.017153551,6.234375,0.557567288,3,19,N-glycan processing
GO:0009749,0.017376793,2.027639782,6.690807461,13,228,response to glucose
GO:0009893,0.017505495,1.276995918,89.44553132,108,3048,positive regulation of metabolic process
GO:1903829,0.017634811,1.831517553,9.654717784,17,329,positive regulation of cellular protein localization
GO:0010604,0.01764427,1.283621647,83.89920408,102,2859,positive regulation of macromolecule metabolic process
GO:0072594,0.017680945,1.712854942,12.73601069,21,434,establishment of protein localization to organelle
GO:0006366,0.017722956,1.330850835,58.28045446,74,1986,transcription by RNA polymerase II
GO:0060341,0.017802672,1.516070801,23.30044353,34,794,regulation of cellular localization
GO:0043170,0.017826302,1.220121614,243.7742876,267,8307,macromolecule metabolic process
GO:0035065,0.017859035,3.54513487,1.525973631,5,52,regulation of histone acetylation
GO:0006576,0.017859035,3.54513487,1.525973631,5,52,cellular biogenic amine metabolic process
GO:0007029,0.017859035,3.54513487,1.525973631,5,52,endoplasmic reticulum organization
GO:0006629,0.018447299,1.388406774,40.55568382,54,1382,lipid metabolic process
GO:1903573,0.018684504,4.295238737,1.027097637,4,35,negative regulation of response to endoplasmic reticulum stress
GO:0051345,0.018743793,1.540372045,20.89410049,31,712,positive regulation of hydrolase activity
GO:0009894,0.018841311,1.499782712,24.23950422,35,826,regulation of catabolic process
GO:0032259,0.019084543,1.813727093,9.742754724,17,332,methylation
GO:0034030,0.019258729,3.471059972,1.555319278,5,53,ribonucleoside bisphosphate biosynthetic process
GO:0034033,0.019258729,3.471059972,1.555319278,5,53,purine nucleoside bisphosphate biosynthetic process
GO:0033866,0.019258729,3.471059972,1.555319278,5,53,nucleoside bisphosphate biosynthetic process
GO:0046394,0.019439576,1.746455154,11.298074,19,385,carboxylic acid biosynthetic process
GO:0010638,0.019488903,1.571581906,18.48775746,28,630,positive regulation of organelle organization
GO:0042135,0.019749764,5.867279412,0.586912935,3,20,neurotransmitter catabolic process
GO:2001171,0.019749764,5.867279412,0.586912935,3,20,positive regulation of ATP biosynthetic process
GO:1902236,0.019749764,5.867279412,0.586912935,3,20,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0034660,0.019790629,1.649574468,14.46740385,23,493,ncRNA metabolic process
GO:0055085,0.019830461,1.370513723,43.37286591,57,1478,transmembrane transport
GO:0017144,0.020173934,1.541697699,20.18980497,30,688,drug metabolic process
GO:0043632,0.020310802,1.609636988,16.11076007,25,549,modification-dependent macromolecule catabolic process
GO:0016053,0.020390881,1.736741004,11.3567653,19,387,organic acid biosynthetic process
GO:0044273,0.020546106,4.160751566,1.056443283,4,36,sulfur compound catabolic process
GO:0006304,0.02057605,2.68576741,2.758490795,7,94,DNA modification
GO:0090150,0.020739766,2.040673801,6.133240173,12,209,establishment of protein localization to membrane
GO:0009746,0.021032334,1.9718398,6.866881342,13,234,response to hexose
GO:0022904,0.021397312,2.942656308,2.17157786,6,74,respiratory electron transport chain
GO:0050847,0.021400025,11.06722107,0.234765174,2,8,progesterone receptor signaling pathway
GO:0110096,0.021400025,11.06722107,0.234765174,2,8,cellular response to aldehyde
GO:0046500,0.021400025,11.06722107,0.234765174,2,8,S-adenosylmethionine metabolic process
GO:0031936,0.021400025,11.06722107,0.234765174,2,8,negative regulation of chromatin silencing
GO:0043633,0.021400025,11.06722107,0.234765174,2,8,polyadenylation-dependent RNA catabolic process
GO:0036490,0.021400025,11.06722107,0.234765174,2,8,regulation of translation in response to endoplasmic reticulum stress
GO:0032933,0.021400025,11.06722107,0.234765174,2,8,SREBP signaling pathway
GO:0010766,0.021400025,11.06722107,0.234765174,2,8,negative regulation of sodium ion transport
GO:0010807,0.021400025,11.06722107,0.234765174,2,8,regulation of synaptic vesicle priming
GO:0006983,0.021400025,11.06722107,0.234765174,2,8,ER overload response
GO:0015849,0.021671524,1.821188255,9.126496142,16,311,organic acid transport
GO:0046942,0.021671524,1.821188255,9.126496142,16,311,carboxylic acid transport
GO:0043687,0.021683303,1.908748938,7.629868157,14,260,post-translational protein modification
GO:0034284,0.021693595,1.962833046,6.896226988,13,235,response to monosaccharide
GO:1905039,0.021938769,2.451685176,3.433440671,8,117,carboxylic acid transmembrane transport
GO:1903825,0.021938769,2.451685176,3.433440671,8,117,organic acid transmembrane transport
GO:0045070,0.022517713,4.034415133,1.08578893,4,37,positive regulation of viral genome replication
GO:0008334,0.022550217,5.540972222,0.616258582,3,21,histone mRNA metabolic process
GO:0007167,0.022827119,1.452648113,27.14472325,38,925,enzyme linked receptor protein signaling pathway
GO:0030163,0.022835567,1.467787658,25.44267574,36,867,protein catabolic process
GO:0032781,0.023883379,3.266264665,1.643356218,5,56,positive regulation of ATPase activity
