gene,kTotal,MM.turquoise,kWithin,description
107287665,623.2250971,0.935393673,350.257806,UDP-glucose glycoprotein glucosyltransferase 1
107286906,624.624021,0.935393455,374.3622391,transient receptor potential cation channel subfamily V member 6-like
107283218,601.1229925,0.935323505,368.8192769,zinc transporter ZIP11-like
107288241,760.9404959,0.935241517,381.1021321,Gse1 coiled-coil protein
107285356,665.1270699,0.935238803,382.4583739,solute carrier family 7 member 11
107286682,644.9063033,0.935171895,361.2460714,arf-GAP with GTPase ANK repeat and PH domain-containing protein 1-like
107291533,613.4124201,0.934804647,370.5080162,solute carrier family 43 member 1
107287632,695.3607825,0.934738767,382.6779866,membrane bound O-acyltransferase domain containing 2
107289840,704.1290042,0.934722112,391.4980535,solute carrier family 39 (zinc transporter) member 13
107287557,655.4480157,0.934706121,393.8648633,transmembrane protease serine 9-like
107301870,595.7314222,0.934216157,343.0980736,uncharacterized LOC107301870
107301163,677.3480629,0.934204103,390.3655138,uncharacterized LOC107301163
107292119,801.8155302,0.934145349,387.2597488,nuclear transcription factor X-box binding like 1
107290246,867.2698492,0.934031367,432.9904113,translocation associated membrane protein 1
107295838,713.6963257,0.933717754,382.0993145,catenin delta-2-like
107282225,722.5741196,0.933439703,400.398292,excitatory amino acid transporter 1-like
107284953,645.3285814,0.933394346,395.5271243,solute carrier family 3 member 1
107287229,739.3370889,0.933322258,389.8024326,ATPase 13A1
107298042,724.1827734,0.933202659,370.3731369,SRP receptor alpha subunit
107296008,864.2027887,0.933158765,424.9566988,MAP7 domain containing 2
107291602,806.3065386,0.932972683,391.5176374,RIC1 homolog RAB6A GEF complex partner 1
107284462,705.1554851,0.932901275,364.5464665,Sec23 homolog B COPII coat complex component
107283892,864.1983792,0.932373162,414.9596468,golgi reassembly stacking protein 2
107294506,565.7216885,0.932209359,333.9066396,adiponectin receptor 2
107298299,666.1220917,0.931556081,402.3657095,zinc metalloproteinase/disintegrin
107295484,575.8088197,0.931541217,347.6374194,cadherin EGF LAG seven-pass G-type receptor 3-like
107285595,706.2768389,0.931467582,374.4686602,heat shock protein family A (Hsp70) member 13
107284752,664.5761508,0.931180224,392.9901745,5'-nucleotidase ecto
107286967,684.7580572,0.931092626,373.3777278,calcium/calmodulin-dependent protein kinase kinase 2 beta
107302770,798.1222656,0.930596214,373.9885657,melanoma inhibitory activity family member 3
107298201,637.1827985,0.930454103,354.535776,cysteine conjugate-beta lyase 2
107283456,645.0283816,0.930412399,354.8726211,transmembrane protein 125
107293748,638.5841295,0.930376882,358.1395869,canopy FGF signaling regulator 2
107294779,810.2603687,0.930094129,407.4582264,protein disulfide isomerase family A member 6
107289650,701.1474159,0.930001182,392.0546714,peptidylprolyl isomerase B
107294480,608.2642849,0.929984734,325.6849376,myosin VC
107298297,618.9111389,0.929942547,387.5080174,zinc metalloproteinase/disintegrin-like
107287637,612.5413415,0.929810372,357.4486764,uncharacterized LOC107287637
107283147,742.9827423,0.929733613,383.7471847,RAR related orphan receptor A
107296401,737.7639055,0.929556064,369.9744912,STT3A catalytic subunit of the oligosaccharyltransferase complex
107297693,723.657984,0.92947075,364.0139602,ADP-dependent glucokinase
107282413,576.4751124,0.92935065,357.461366,tubulin folding cofactor D
107290562,614.085036,0.929091187,338.004867,URB1 ribosome biogenesis 1 homolog (S. cerevisiae)
107286450,746.4720383,0.929028232,368.9644757,prolactin regulatory element binding
107291773,642.1200134,0.928717063,352.5754468,ST3 beta-galactoside alpha-23-sialyltransferase 6
107302807,720.2345803,0.9286429,403.7814362,uncharacterized LOC107302807
107285707,847.9637944,0.928587328,427.3514631,signal peptidase complex subunit 3
107296690,735.2740213,0.928570532,396.0934362,vesicle-trafficking protein SEC22b-B-like
107298285,617.3277057,0.92835785,386.2276364,zinc metalloproteinase-disintegrin-like ACLD
107296465,654.4433039,0.928314474,375.7110874,inositol 145-trisphosphate receptor type 2
107299533,828.9042881,0.928193505,409.3097691,ribosome binding protein 1
107287553,624.7836151,0.928021828,377.1614476,snake venom serine protease serpentokallikrein-2
107289787,732.5331602,0.927637492,389.6788631,protein disulfide isomerase family A member 3
107284796,823.5465588,0.92736492,412.1743234,hypoxia up-regulated 1
107294655,692.9734018,0.927347848,368.2212582,catenin delta-2-like
107290870,653.5573886,0.927296153,394.8335108,ectonucleotide pyrophosphatase/phosphodiesterase 3
107290356,647.3834315,0.927220627,362.7753248,UDP-glucose glycoprotein glucosyltransferase 2
107298481,686.5840196,0.927133484,365.5091063,coiled-coil domain containing 149
107295759,690.5263117,0.926766085,368.6958252,transmembrane protein 87A
107291353,611.2672818,0.926655438,373.9286634,basic phospholipase A2 trimucrotoxin
107283950,576.5840557,0.926333682,348.9895766,collagen alpha-3(IX) chain-like
107293142,640.1241532,0.926146451,386.2855013,hyaluronidase
107287945,740.5112563,0.926111396,404.3304693,methionine adenosyltransferase 2A
107298069,600.9989551,0.925894124,323.4870214,golgin A5
107284866,657.7469767,0.92588716,348.9374969,exophilin 5
107285132,855.762301,0.925841335,408.0436649,calreticulin
107299443,724.1022917,0.925290769,393.7985021,FGFR1 oncogene partner 2
107294605,575.8288583,0.925075125,336.7700415,spermidine synthase
107298282,595.4848457,0.924881889,375.4151935,zinc metalloproteinase-disintegrin-like HV1
107284894,636.5014024,0.924663894,375.9717123,Rho guanine nucleotide exchange factor 26
107288122,678.7812782,0.92421171,379.3359228,protein tyrosine phosphatase receptor type N
107290355,834.3099394,0.923839804,408.5637505,DnaJ heat shock protein family (Hsp40) member C3
107284440,656.4836533,0.923298375,339.9645758,RAS and EF-hand domain containing
107302494,783.0265936,0.923092054,385.8474738,dihydrolipoamide branched chain transacylase E2
107292113,827.6625291,0.923075421,401.2779646,CLPTM1-like
107287604,722.1481488,0.922979023,383.1969861,ATPase H+ transporting V1 subunit G3
107296050,688.3959369,0.922820681,398.016201,natriuretic peptide C
107286460,615.3919589,0.922589996,340.940415,transmembrane protein 214
107298828,633.794885,0.922324586,385.4288995,uncharacterized LOC107298828
107296279,624.1017882,0.922087216,335.2396564,ubiquitin carboxyl-terminal hydrolase 46
107296983,684.4658512,0.921829288,393.8917734,zinc metalloproteinase/disintegrin-like
107284057,674.2152307,0.921788762,384.6992362,nerve growth factor (beta polypeptide)
107287104,667.1764441,0.921606369,381.6863619,growth differentiation factor 5
107288213,570.3634898,0.92134344,323.7997808,transcriptional repressor GATA binding 1
107298374,687.0360568,0.921075361,385.9220852,peroxiredoxin 4
107294347,590.0953742,0.920909679,333.2935237,Dmx like 1
107288018,642.2970334,0.919927585,356.1314941,cbp/p300-interacting transactivator 3-like
107289985,723.1464832,0.919806469,401.7966586,ubiquitin conjugating enzyme E2Q family like 1
107290316,636.4030767,0.919653071,353.4219645,24-dienoyl-CoA reductase 2 peroxisomal
107286654,571.5935937,0.919612035,313.5639343,HID1 domain containing
107283547,845.892957,0.919234713,396.3091656,NIP7 nucleolar pre-rRNA processing protein
107294934,601.3501243,0.919179279,359.9138899,glutathione peroxidase 3
107283488,650.707215,0.918905282,349.17287,phospholipase A2 group XIIA
107291832,692.0755133,0.918520773,385.6333424,glutathione S-transferase theta-1-like
107291742,624.5152152,0.918205289,361.0824628,basic helix-loop-helix family member a15
107283119,786.8904896,0.918198106,392.9413995,ATPase plasma membrane Ca2+ transporting 1
107293907,885.9824485,0.917887938,403.8453596,uncharacterized LOC107293907
107287731,720.3590626,0.917384738,363.6650955,ectonucleoside triphosphate diphosphohydrolase 7
107298348,605.0475168,0.917099582,335.827796,stromal cell derived factor 4
107291506,538.0424755,0.917088414,318.230989,growth regulation by estrogen in breast cancer-like
107296102,697.9986892,0.916903455,390.1708772,transcription factor-like 5 (basic helix-loop-helix)
107285839,667.5662554,0.916868386,348.2391364,arginase 2
107288711,712.3648411,0.916479008,373.8054605,StAR related lipid transfer domain containing 10
107285504,674.1555509,0.916452303,360.1968014,KDEL endoplasmic reticulum protein retention receptor 2
107296034,695.9523373,0.916442595,365.9283846,uncharacterized LOC107296034
107292587,767.4675678,0.915998104,378.7657473,solute carrier family 39 member 6
107299022,522.0052228,0.915576522,322.1444555,solute carrier family 31 member 2
107302551,587.941274,0.915385174,343.2214098,leucine rich repeat containing 26
107285612,727.1419202,0.915004388,334.8447949,aprataxin
107298300,566.7180927,0.914481566,358.9956348,zinc metalloproteinase/disintegrin-like
107298829,552.5496046,0.914221039,346.9042703,zinc metalloproteinase/disintegrin-like HR1a
107287724,551.6969361,0.914103611,307.8389373,aldehyde dehydrogenase 18 family member A1
107289613,696.8655146,0.91404461,361.6928335,APAF1 interacting protein
107288527,600.8657352,0.913891724,330.5055423,major facilitator superfamily domain containing 5
107291204,647.4553838,0.91374306,359.9230777,Cdk5 and Abl enzyme substrate 1
107298041,801.3043283,0.913612665,363.2801311,family with sequence similarity 118 member B
107294315,753.0449343,0.913248614,374.5823294,histone acetyltransferase KAT8
107289616,573.0031445,0.913094182,353.8650869,L-amino-acid oxidase
107291631,580.484003,0.913017946,358.7836126,snake venom vascular endothelial growth factor toxin
107287040,653.5852013,0.912801798,364.6103216,signal peptidase complex subunit 2
107303258,529.3552447,0.912748118,310.7470603,membrane magnesium transporter 1
107289654,736.6252094,0.912585503,364.9643488,adaptor related protein complex 3 beta 2 subunit
107286497,563.301095,0.912258252,318.212347,ICOS ligand-like
107296041,685.9782089,0.912224329,374.1715213,fer-1 like family member 6
107294825,628.2077296,0.911774835,343.5623366,methylthioadenosine phosphorylase
107286726,556.5818091,0.911330241,301.7596745,putative sodium-coupled neutral amino acid transporter 10
107296594,711.1172099,0.910926297,341.3882118,calnexin
107285127,803.6156078,0.91064235,370.3525538,glutaryl-CoA dehydrogenase
107293726,576.315842,0.910596061,361.5262714,cysteine-rich venom protein
107301955,554.6353423,0.9103447,351.9527604,zinc metalloproteinase/disintegrin-like
107302795,658.9093014,0.91011525,368.5174706,small integral membrane protein 14
107302498,744.71081,0.909875632,357.9763674,solute carrier family 30 member 7
107297272,695.0119193,0.909731415,356.4313,amine oxidase [flavin-containing] B-like
107296104,609.8520935,0.909242466,348.8019798,collagen type IX alpha 3
107291352,547.4881657,0.909240076,344.507687,basic phospholipase A2 homolog G6K49
107291261,829.7318409,0.909026658,388.5127057,transmembrane p24 trafficking protein 5
107299445,536.6528883,0.908629632,308.7064221,asunder spermatogenesis regulator
107295538,527.3982258,0.90862856,305.1604425,dihydropyrimidinase-related protein 5
107286303,615.9033136,0.908415569,338.693775,protein NipSnap homolog 3B-like
107292372,535.8144353,0.90774892,303.648226,ST3 beta-galactoside alpha-23-sialyltransferase 4
107300237,680.1903726,0.907727387,333.2159616,acyl-CoA oxidase 3 pristanoyl
107286306,486.5309548,0.907708285,302.4025199,collagen alpha-2(I) chain-like
107289195,683.9525404,0.907700703,351.8078663,staphylococcal nuclease domain-containing protein 1-like
107291606,633.9596257,0.907610954,330.6571601,solute carrier family 1 member 1
107294656,770.4641391,0.907533375,379.2422004,death-associated protein
107291354,531.4308213,0.907235928,325.4253305,basic phospholipase A2 homolog G6K49-like
107291624,560.7126581,0.907156734,322.6164278,uncharacterized LOC107291624
107283228,694.0274126,0.906307047,323.0589759,AP2 associated kinase 1
107285463,546.4333737,0.90629338,335.4972765,selenoprotein M
107283001,819.300429,0.906224114,374.3836649,signal sequence receptor alpha
107295317,478.2650013,0.906047081,280.9242122,leucine-rich repeat containing 8 family member D
107285942,600.3119111,0.906005164,305.976678,IKAROS family zinc finger 5
107284495,856.2392166,0.905663283,392.9470565,mesencephalic astrocyte derived neurotrophic factor
107284306,684.0996488,0.905612075,343.4641742,abhydrolase domain containing 13
107285864,602.9497896,0.905533176,325.3859437,uncharacterized LOC107285864
107283668,827.604424,0.905454639,368.9449591,histidyl-tRNA synthetase
107287220,634.8246524,0.905059738,324.4611009,RAS guanyl releasing protein 1
107296112,531.1186694,0.904769305,282.2716183,nuclear factor 1 B-type
107287901,803.5499767,0.904723623,346.4402758,nuclear receptor binding factor 2
107301958,561.6478112,0.904630066,301.6964202,mannosyl (alpha-13-)-glycoprotein beta-14-N-acetylglucosaminyltransferase isozyme A
107292325,772.044028,0.904532438,352.4087819,ubiquitin associated and SH3 domain containing B
107288132,769.925356,0.903890396,360.4865351,activating transcription factor 4
107282415,683.6671129,0.903811898,356.4917561,reticulocalbin 3
107299367,561.4459634,0.903648595,310.2692855,ATPase 13A4
107297170,576.9711196,0.903398364,303.6008437,golgin B1
107293777,711.1932116,0.902725076,349.9534347,homocysteine-inducible endoplasmic reticulum stress-inducible ubiquitin-like domain member 1
107297909,687.1607717,0.90269227,344.9549434,estrogen receptor binding site associated antigen 9
107298875,529.6848221,0.902604845,291.944388,DIS3-like exonuclease 2
107283055,659.9068594,0.902597749,315.5758728,thioredoxin domain containing 12 (endoplasmic reticulum)
107287500,572.1855184,0.902342231,345.0086144,SH3 and multiple ankyrin repeat domains protein 3-like
107285157,790.2896831,0.902297301,358.2173714,chromosome unknown open reading frame human C1orf27
107290628,505.8642649,0.901874493,288.2457981,sorting nexin 8
107300405,646.6304971,0.9018175,361.2250242,snaclec mucetin subunit beta-like
107287667,553.9028711,0.901721206,316.8469694,lysophosphatidylcholine acyltransferase 2
107295596,573.0459188,0.901652188,318.7758359,piggyBac transposable element derived 5
107294535,538.3984842,0.901475299,304.1395803,dipeptidyl peptidase 4
107295192,513.9714074,0.901447291,302.2956669,lectin mannose binding 2
107296429,577.8788322,0.901142078,332.7804007,cholinergic receptor muscarinic 5
107283987,695.5820574,0.900924015,341.7752368,thioredoxin domain containing 11
107294090,598.5175629,0.900723432,337.1571751,acireductone dioxygenase 1
107286689,685.3486362,0.900706458,343.7530893,calcium/calmodulin-dependent protein kinase II delta
107287736,617.4649929,0.900603166,312.7560921,lysophosphatidylcholine acyltransferase 2-like
107285940,514.1032471,0.900371024,272.9909429,acyl-CoA dehydrogenase short/branched chain
107297698,500.5968165,0.900307235,286.6087557,seryl-tRNA synthetase
107297725,619.7150217,0.899904176,328.5652838,histocompatibility (minor) 13
107287857,662.0159911,0.899761695,331.1173537,phosphatidylinositol glycan anchor biosynthesis class F
107283714,500.0437864,0.899522994,275.4849179,tyrosyl-tRNA synthetase
107288635,664.4678316,0.89854259,316.9393171,CDC42 effector protein 1
107286703,590.095842,0.898442886,295.9253169,plexin B3
107284802,779.9949961,0.898058476,354.4791455,archain 1
107290785,614.6396956,0.898013661,299.7064098,signal recognition particle 68kDa
107286434,600.0498045,0.897756639,304.3662869,zinc finger protein 512
107299055,806.1477667,0.897074669,365.7279102,FK506 binding protein 2
107284225,733.6709281,0.897038233,364.9744824,signal sequence receptor delta
107287561,617.8833367,0.896695141,352.460035,snaclec coagulation factor IX/factor X-binding protein subunit A
107288180,650.8625409,0.896655599,329.3378308,keratin 8 type II
107284130,484.4838573,0.896346995,266.3593796,elaC ribonuclease Z 1
107292852,437.3951967,0.896267777,271.1537524,zinc finger protein 568-like
107302859,689.2499606,0.896160492,324.3717466,UDP-N-acetylglucosamine pyrophosphorylase 1
107286675,656.8234114,0.895663407,353.5516326,solute carrier family 41 member 2
107290253,883.1115032,0.89541671,373.1708627,SEC62 homolog preprotein translocation factor
107296633,516.9148217,0.895318323,276.1448586,phosphomannomutase 2
107284527,565.5926924,0.894967401,297.6854267,phosphoserine aminotransferase 1
107285882,677.6847906,0.894919418,355.7345993,tumor protein D52-like 1
107301884,527.3534499,0.894912751,321.5147506,snake venom metalloproteinase ACLF-like
107290315,536.8713919,0.894825028,279.7966829,RAB11 family interacting protein 3 (class II)
107284579,499.8664866,0.894814763,264.8893821,testis development related protein
107292447,761.4505775,0.894709746,344.5258497,calmegin
107299586,546.0202377,0.894686956,289.1554104,TLC domain containing 1
107296710,742.2355639,0.894600201,364.1862367,keratinocyte associated protein 2
107287539,575.0665981,0.894594203,340.4498914,snaclec mucetin subunit alpha
107298024,534.430028,0.894572164,297.6090734,uncharacterized LOC107298024
107298180,772.3067241,0.894570396,337.5286044,calcium/calmodulin-dependent protein kinase I
107301436,484.8038414,0.894464355,260.9967865,widely interspaced zinc finger motifs
107293306,791.4014495,0.894393282,366.1844814,DnaJ heat shock protein family (Hsp40) member B9
107295540,650.7837456,0.894277833,319.6728233,GNAS complex locus
107291926,458.2171966,0.894065887,268.9379434,solute carrier family 39 member 10
107290862,773.3413419,0.894046579,348.4393867,lectin mannose binding 1
107296026,611.0773614,0.893850928,310.3048141,proline rich coiled-coil 1
107285408,680.0014997,0.893655993,315.4968499,small G protein signaling modulator 3
107286390,575.718314,0.893256736,318.0877601,uncharacterized LOC107286390
107294832,612.5193155,0.893127122,294.7287106,golgi brefeldin A resistant guanine nucleotide exchange factor 1
107282423,560.0332267,0.893083075,294.2553838,zinc finger protein 750
107287136,561.5399935,0.893075097,290.6524478,ephrin type-B receptor 1-like
107294046,582.0337177,0.893015109,320.7539778,chloride intracellular channel 1
107285582,772.8735203,0.892957055,347.4696924,ER degradation enhancer mannosidase alpha-like 2
107294884,472.3717577,0.892912977,266.7601295,KIAA0319 like
107290107,795.7251835,0.892337352,361.9541596,glutamic pyruvate transaminase (alanine aminotransferase) 2
107297785,499.1365803,0.892285509,312.4046726,zinc metalloproteinase-disintegrin-like VMP-III
107293451,795.5414708,0.891568868,350.8151044,G protein-coupled receptor 180
107287283,590.0256324,0.891509047,302.9999361,solute carrier family 2 facilitated glucose transporter member 11-like
107296453,700.8454947,0.891436573,331.4202882,SEL1L ERAD E3 ligase adaptor subunit
107301273,644.6850557,0.89124287,324.5174414,uncharacterized LOC107301273
107294038,664.1634887,0.890709508,323.5964266,zinc finger transcription factor Trps1-like
107287558,474.8634631,0.890640368,272.5220689,snake venom serine protease pictobin-like
107300928,508.0260309,0.8904779,299.2340481,zinc metalloproteinase/disintegrin-like
107297578,643.162513,0.890355704,310.9602211,catenin delta-2-like
107297526,487.0400501,0.889719555,279.4360787,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
107289843,715.3223281,0.889067964,318.715714,high density lipoprotein binding protein
107290834,570.666341,0.888615244,296.6978972,mitotic-spindle organizing protein 2A-like
107291405,489.4574113,0.888468514,261.4647313,solute carrier family 25 member 29
107290915,607.7833876,0.888447189,292.9902628,transmembrane protein 104
107297363,657.016274,0.888394695,289.9684556,thyroid hormone receptor interactor 11
107284252,528.3979695,0.888362419,298.3800847,phosphatidylinositol specific phospholipase C X domain containing 1
107292463,588.4821509,0.88813392,285.6567924,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1-like
107283629,603.1513397,0.888127605,318.3236884,LIM zinc-binding domain-containing Nebulette
107291954,633.4975515,0.8881141,304.1798895,leucyl-tRNA synthetase
107284243,719.5513473,0.888097768,328.0797278,solute carrier family 9 member A7
107287936,721.2282137,0.887914262,353.0663636,solute carrier family 30 member 6
107293199,561.150168,0.887308701,277.2028215,RFT1 homolog
107300627,822.3902551,0.887150844,353.4586539,solute carrier family 30 (zinc transporter) member 5
107287549,588.8107184,0.887096971,333.7212742,snaclec trimecetin subunit beta-like
107285786,810.7554428,0.887048448,353.0077652,mannosidase alpha class 1A member 2
107292010,614.0523216,0.886962883,298.6888563,SUMO1/sentrin specific peptidase 6
107298409,600.2109838,0.886955294,310.3730065,major facilitator superfamily domain-containing protein 8-like
107287163,519.4144421,0.886952947,257.83637,TRAF3 interacting protein 2
107285494,639.7067535,0.886621952,294.4769831,ChaC cation transport regulator homolog 2 (E. coli)
107285316,517.5581968,0.886543517,278.7350214,carboxypeptidase Q
107286518,728.5146076,0.886384723,322.491675,calcium/calmodulin-dependent serine protein kinase (MAGUK family)
107289944,615.7157445,0.886276636,287.2461984,vacuolar protein sorting 45 homolog (S. cerevisiae)
107286547,446.7877982,0.886152756,290.5850179,neutral cholesterol ester hydrolase 1
107291203,472.8859727,0.885846265,267.5088814,presenilin 2
107285533,503.5041309,0.885790444,284.2802357,dipeptidyl peptidase 4-like
107289067,406.2670329,0.885759527,248.9515885,apoptosis-stimulating of p53 protein 2-like
107283217,566.2140716,0.88532946,277.0003477,SRY-box 9
107292286,568.8905095,0.885124252,293.0120505,cholinergic receptor muscarinic 3
107284959,454.3928252,0.884877053,266.912918,ATPase H+ transporting V0 subunit d2
107289838,505.6026744,0.884702174,273.6398175,nuclear receptor subfamily 1 group H member 3
107294346,561.5197919,0.884485945,269.3869409,DTW domain containing 2
107291148,497.0097461,0.88445089,267.6682878,cAMP-dependent protein kinase catalytic subunit alpha-like
107302895,584.2861397,0.884434511,317.2616064,tumor protein D52
107294279,716.8095003,0.884430761,341.7698498,Sec61 translocon alpha 1 subunit
107284077,762.3170499,0.884378919,339.2164443,Golgi apparatus protein 1-like
107295677,619.564591,0.884309986,326.4907781,solute carrier family 30 (zinc transporter) member 2
107287902,605.0845708,0.884276421,294.9535021,adenosine kinase
107300527,569.3916013,0.884093147,327.0392502,snaclec mucetin subunit beta
107283801,536.1586851,0.884059577,307.1479748,BMP binding endothelial regulator
