Orthogroup	P_troglodytes.pep	H_sapiens.pep
OG0000010	ENSPTRG00000043707.1	ENSG00000197903.7
OG0000010	ENSPTRG00000045140.1	ENSG00000124635.8
OG0000010	ENSPTRG00000049906.1, ENSPTRG00000049839.1	ENSG00000185130.5
OG0000010	ENSPTRG00000051195.1	ENSG00000273703.1
OG0000013	ENSPTRG00000023522.3	ENSG00000189181.5
OG0000013	ENSPTRG00000017891.3	ENSG00000225291.4, ENSG00000112459.5, ENSG00000204695.4, ENSG00000234195.4, ENSG00000237777.4, ENSG00000234100.4, ENSG00000236927.4
OG0000013	ENSPTRG00000030069.3	ENSG00000196772.4
OG0000014	ENSPTRG00000043737.1	ENSG00000163041.12
OG0000014	ENSPTRG00000044185.1	ENSG00000203811.1
OG0000014	ENSPTRG00000047137.1	ENSG00000274750.2
OG0000014	ENSPTRG00000052362.1	ENSG00000286522.1, ENSG00000285435.1, ENSG00000168148.3
OG0000014	ENSPTRG00000043155.1	ENSG00000287080.1
OG0000014	ENSPTRG00000044316.1	ENSG00000275379.1
OG0000014	ENSPTRG00000052301.1	ENSG00000197153.4
OG0000015	ENSPTRG00000048595.1, ENSPTRG00000001746.7	ENSG00000153029.14
OG0000018	ENSPTRG00000001238.5	ENSG00000276180.1, ENSG00000158406.4, ENSG00000273542.1
OG0000018	ENSPTRG00000052602.1	ENSG00000270276.2
OG0000018	ENSPTRG00000046786.1	ENSG00000275663.1
OG0000020	ENSPTRG00000043968.1	ENSG00000211973.2, ENSG00000282350.1, ENSG00000280411.1, ENSG00000282399.1
OG0000020	ENSPTRG00000049305.1, ENSPTRG00000043025.1, ENSPTRG00000048451.1, ENSPTRG00000050973.1, ENSPTRG00000049108.1, ENSPTRG00000050824.1, ENSPTRG00000052394.1	ENSG00000282284.1, ENSG00000211950.2
OG0000020	ENSPTRG00000030364.3	ENSG00000277282.1, ENSG00000188403.7, ENSG00000288375.1
OG0000020	ENSPTRG00000044278.1, ENSPTRG00000048433.1	ENSG00000282776.1, ENSG00000211961.3
OG0000020	ENSPTRG00000043657.1	ENSG00000211934.3, ENSG00000282550.1, ENSG00000288165.1, ENSG00000270505.1, ENSG00000281179.1, ENSG00000288190.1
OG0000020	ENSPTRG00000044994.1, ENSPTRG00000046655.1	ENSG00000277574.2, ENSG00000211966.2, ENSG00000282401.1, ENSG00000282651.2
OG0000021	ENSPTRG00000008769.4	ENSG00000264424.1
OG0000021	ENSPTRG00000008770.5	ENSG00000125414.19
OG0000021	ENSPTRG00000008771.7	ENSG00000109061.10
OG0000021	ENSPTRG00000008768.6	ENSG00000133020.4
OG0000021	ENSPTRG00000008766.6	ENSG00000006788.14
OG0000021	ENSPTRG00000008773.5	ENSG00000109063.15
OG0000021	ENSPTRG00000013428.6	ENSG00000078814.16
OG0000021	ENSPTRG00000015191.4	ENSG00000144821.10
OG0000021	ENSPTRG00000042734.1	ENSG00000092054.13
OG0000021	ENSPTRG00000006175.6	ENSG00000197616.12
OG0000023	ENSPTRG00000047914.1	ENSG00000276240.2
OG0000023	ENSPTRG00000041296.2	ENSG00000221977.2
OG0000023	ENSPTRG00000004413.3	ENSG00000171014.2
OG0000023	ENSPTRG00000003695.4	ENSG00000172742.5
OG0000023	ENSPTRG00000047267.1, ENSPTRG00000043210.1	ENSG00000254466.2
OG0000023	ENSPTRG00000043163.1	ENSG00000176200.1
OG0000023	ENSPTRG00000003692.4	ENSG00000166884.2
OG0000023	ENSPTRG00000030829.4	ENSG00000141194.6
OG0000023	ENSPTRG00000006083.2	ENSG00000184394.2
OG0000025	ENSPTRG00000023404.6	ENSG00000196610.13, ENSG00000228254.9, ENSG00000228813.9, ENSG00000229493.9, ENSG00000230675.9, ENSG00000232629.9, ENSG00000226165.9, ENSG00000224305.9
OG0000025	ENSPTRG00000018018.7	ENSG00000206302.10, ENSG00000206237.6, ENSG00000225824.8, ENSG00000179344.16, ENSG00000233209.6, ENSG00000231286.7, ENSG00000231939.5
OG0000025	ENSPTRG00000023735.6	ENSG00000198502.6
OG0000025	ENSPTRG00000051243.1	ENSG00000236884.8, ENSG00000229074.8, ENSG00000230463.2, ENSG00000196101.9, ENSG00000231679.7, ENSG00000206240.11, ENSG00000206306.10, ENSG00000227357.2, ENSG00000227826.9, ENSG00000231021.9, ENSG00000228080.10, ENSG00000196126.11
OG0000026	ENSPTRG00000017330.3	ENSG00000171815.5
OG0000026	ENSPTRG00000032485.2	ENSG00000120324.9
OG0000026	ENSPTRG00000028558.3	ENSG00000177839.7
OG0000026	ENSPTRG00000017341.4	ENSG00000120327.6
OG0000026	ENSPTRG00000017338.5	ENSG00000272674.3
OG0000026	ENSPTRG00000017333.3, ENSPTRG00000049042.1, ENSPTRG00000051462.1, ENSPTRG00000049066.1	ENSG00000081818.4
OG0000026	ENSPTRG00000017334.5	ENSG00000113209.9
OG0000026	ENSPTRG00000017335.4	ENSG00000113211.5
OG0000026	ENSPTRG00000017343.3	ENSG00000113248.6
OG0000026	ENSPTRG00000050672.1	ENSG00000120328.6, ENSG00000197479.7
OG0000027	ENSPTRG00000004900.5	ENSG00000075886.11, ENSG00000198033.12
OG0000027	ENSPTRG00000012467.6	ENSG00000152086.9
OG0000027	ENSPTRG00000004901.5	ENSG00000167552.14
OG0000027	ENSPTRG00000002253.4	ENSG00000178462.12
OG0000027	ENSPTRG00000043848.1, ENSPTRG00000043999.1	ENSG00000183785.15
OG0000027	ENSPTRG00000012949.6	ENSG00000127824.14
OG0000027	ENSPTRG00000048544.1	ENSG00000167553.15
OG0000028	ENSPTRG00000046222.1, ENSPTRG00000011468.6	ENSG00000275730.4, ENSG00000278555.4, ENSG00000278279.4, ENSG00000186818.12, ENSG00000276042.4
OG0000028	ENSPTRG00000011452.6	ENSG00000105609.17, ENSG00000278437.4, ENSG00000277414.4, ENSG00000273991.4, ENSG00000274311.4
OG0000028	ENSPTRG00000011451.7, ENSPTRG00000043706.1	ENSG00000275019.5, ENSG00000274587.5, ENSG00000277177.4, ENSG00000204577.11, ENSG00000277816.5
OG0000028	ENSPTRG00000047045.1, ENSPTRG00000048836.1	ENSG00000275841.4, ENSG00000276175.4, ENSG00000278046.4, ENSG00000273884.4
OG0000028	ENSPTRG00000011466.6	ENSG00000274935.5, ENSG00000277398.5, ENSG00000104974.12, ENSG00000275525.5
OG0000028	ENSPTRG00000011465.7	ENSG00000275290.4, ENSG00000239998.6
OG0000028	ENSPTRG00000045259.1	ENSG00000278634.4, ENSG00000274000.4
OG0000028	ENSPTRG00000011467.6	ENSG00000275463.4, ENSG00000131042.14, ENSG00000274513.4, ENSG00000276146.4, ENSG00000274669.5, ENSG00000277807.5, ENSG00000277134.5, ENSG00000104972.15
OG0000028	ENSPTRG00000011455.5	ENSG00000275404.4, ENSG00000274113.4, ENSG00000187116.14, ENSG00000274914.4, ENSG00000278355.4
OG0000028	ENSPTRG00000011456.3	ENSG00000276798.4, ENSG00000239961.3, ENSG00000277092.4, ENSG00000274185.4
OG0000028	ENSPTRG00000028888.5	ENSG00000244482.10, ENSG00000274148.5, ENSG00000275539.5, ENSG00000275584.5
OG0000029	ENSPTRG00000043894.1	ENSG00000170454.6
OG0000029	ENSPTRG00000051265.1	ENSG00000170465.10, ENSG00000205420.11
OG0000029	ENSPTRG00000004979.4	ENSG00000185479.6
OG0000029	ENSPTRG00000020404.6	ENSG00000186081.12
OG0000029	ENSPTRG00000004987.6	ENSG00000172867.4
OG0000029	ENSPTRG00000046630.1	ENSG00000167768.4
OG0000029	ENSPTRG00000004993.4	ENSG00000185640.6
OG0000029	ENSPTRG00000004992.5	ENSG00000170477.13
OG0000029	ENSPTRG00000004984.3	ENSG00000170486.11
OG0000029	ENSPTRG00000004982.5	ENSG00000139648.7
OG0000029	ENSPTRG00000004985.4	ENSG00000186049.8
OG0000029	ENSPTRG00000004991.5	ENSG00000186442.7
OG0000029	ENSPTRG00000004990.3	ENSG00000185069.2
OG0000029	ENSPTRG00000046526.1	ENSG00000170421.12
OG0000029	ENSPTRG00000004969.4	ENSG00000135480.16
OG0000031	ENSPTRG00000033855.3, ENSPTRG00000023029.6	ENSG00000197408.10
OG0000031	ENSPTRG00000011014.4	ENSG00000197838.5
OG0000031	ENSPTRG00000011015.7, ENSPTRG00000033800.3	ENSG00000255974.8, ENSG00000198077.10
OG0000032	ENSPTRG00000029745.2	ENSG00000205327.3
OG0000032	ENSPTRG00000005050.4	ENSG00000197706.3
OG0000032	ENSPTRG00000005052.4	ENSG00000188324.4
OG0000032	ENSPTRG00000029744.2	ENSG00000205330.4
OG0000032	ENSPTRG00000048341.1, ENSPTRG00000047388.1	ENSG00000179626.4
OG0000032	ENSPTRG00000050576.1, ENSPTRG00000045202.1	ENSG00000179615.2
OG0000033	ENSPTRG00000028733.5	ENSG00000205495.1
OG0000033	ENSPTRG00000003234.2	ENSG00000176787.2
OG0000033	ENSPTRG00000003268.5	ENSG00000180974.4
OG0000033	ENSPTRG00000003267.4	ENSG00000183269.5
OG0000033	ENSPTRG00000028728.3	ENSG00000205409.3
OG0000033	ENSPTRG00000003252.3	ENSG00000181609.5
OG0000033	ENSPTRG00000003255.7	ENSG00000181616.9
OG0000034	ENSPTRG00000017675.6	ENSG00000227739.10, ENSG00000224156.10, ENSG00000232575.10, ENSG00000183311.16
OG0000034	ENSPTRG00000023373.3	ENSG00000188229.6
OG0000034	ENSPTRG00000010369.4	ENSG00000104833.12
OG0000034	ENSPTRG00000002056.5	ENSG00000173213.9
OG0000034	ENSPTRG00000050363.1, ENSPTRG00000002168.6	ENSG00000261456.5
OG0000034	ENSPTRG00000009878.6	ENSG00000176014.13
OG0000034	ENSPTRG00000008496.7	ENSG00000198211.8
OG0000034	ENSPTRG00000013680.2	ENSG00000101162.4
OG0000039	ENSPTRG00000050321.1, ENSPTRG00000019779.6	ENSG00000127362.2
OG0000039	ENSPTRG00000004682.4	ENSG00000121377.2, ENSG00000274327.1, ENSG00000273326.1
OG0000039	ENSPTRG00000004684.4	ENSG00000273713.2, ENSG00000273086.1, ENSG00000121381.4
OG0000039	ENSPTRG00000004683.4	ENSG00000277316.2, ENSG00000121314.2, ENSG00000272712.1
OG0000039	ENSPTRG00000047242.1	ENSG00000282537.1
OG0000039	ENSPTRG00000045940.1	ENSG00000282256.1, ENSG00000256436.1, ENSG00000263097.3, ENSG00000255374.3, ENSG00000262612.3
OG0000039	ENSPTRG00000046845.1	ENSG00000278111.4, ENSG00000262525.3, ENSG00000226761.3
OG0000039	ENSPTRG00000032530.3	ENSG00000274699.4, ENSG00000256188.3, ENSG00000262111.3
OG0000039	ENSPTRG00000046810.1	ENSG00000255837.1, ENSG00000273092.1, ENSG00000282612.1
OG0000039	ENSPTRG00000052621.1, ENSPTRG00000046701.1, ENSPTRG00000049970.1	ENSG00000212124.2, ENSG00000263028.1, ENSG00000278307.3
OG0000039	ENSPTRG00000049303.1	ENSG00000273431.1, ENSG00000276167.1, ENSG00000212126.3
OG0000039	ENSPTRG00000004685.6	ENSG00000277238.2, ENSG00000272805.1, ENSG00000121318.2
OG0000040	ENSPTRG00000017908.7	ENSG00000206506.10, ENSG00000235680.8, ENSG00000276051.4, ENSG00000235346.9, ENSG00000233095.8, ENSG00000230413.9, ENSG00000237216.8, ENSG00000204632.11
OG0000040	ENSPTRG00000041261.2	ENSG00000234745.11, ENSG00000232126.8, ENSG00000206450.11, ENSG00000228964.10, ENSG00000224608.10, ENSG00000223532.10, ENSG00000225691.7, ENSG00000204525.16, ENSG00000233841.11, ENSG00000206435.10, ENSG00000206452.10, ENSG00000237022.10, ENSG00000228299.9
OG0000040	ENSPTRG00000017912.7	ENSG00000229215.9, ENSG00000224320.9, ENSG00000206505.13
OG0000040	ENSPTRG00000039521.2	ENSG00000235657.9, ENSG00000227715.11, ENSG00000206503.13
OG0000040	ENSPTRG00000038986.2	ENSG00000233904.6, ENSG00000229252.6, ENSG00000230254.7, ENSG00000206493.7, ENSG00000204592.9, ENSG00000225201.6, ENSG00000236632.5
OG0000045	ENSPTRG00000011172.2	ENSG00000188425.4
OG0000047	ENSPTRG00000034329.3	ENSG00000214787.10
OG0000047	ENSPTRG00000003710.6	ENSG00000110079.18
OG0000047	ENSPTRG00000003719.4	ENSG00000166961.15
OG0000047	ENSPTRG00000003718.3	ENSG00000166959.8
OG0000047	ENSPTRG00000003716.5	ENSG00000071203.9
OG0000048	ENSPTRG00000047934.1	ENSG00000268696.3
OG0000048	ENSPTRG00000034264.3	ENSG00000197134.13
OG0000048	ENSPTRG00000022567.6	ENSG00000197372.10
OG0000048	ENSPTRG00000043006.1, ENSPTRG00000043365.1	ENSG00000196172.9
OG0000048	ENSPTRG00000048975.1	ENSG00000197013.10
OG0000048	ENSPTRG00000029074.5	ENSG00000256771.4
OG0000048	ENSPTRG00000010755.6	ENSG00000188171.16, ENSG00000081665.14
OG0000048	ENSPTRG00000050331.1	ENSG00000256229.8
OG0000048	ENSPTRG00000041085.2	ENSG00000213988.11
OG0000048	ENSPTRG00000023948.5	ENSG00000275050.4, ENSG00000160229.13
OG0000048	ENSPTRG00000042811.1	ENSG00000184635.16
OG0000048	ENSPTRG00000040518.2	ENSG00000237440.9
OG0000048	ENSPTRG00000028577.4	ENSG00000278091.4, ENSG00000197008.9, ENSG00000196247.11
OG0000048	ENSPTRG00000028583.4	ENSG00000105750.15
OG0000048	ENSPTRG00000019240.5, ENSPTRG00000052193.1	ENSG00000146757.13
OG0000048	ENSPTRG00000022653.5	ENSG00000198039.11
OG0000048	ENSPTRG00000019222.7	ENSG00000213096.10
OG0000048	ENSPTRG00000019235.6	ENSG00000167232.14, ENSG00000173041.12
OG0000048	ENSPTRG00000010773.7	ENSG00000196350.9
OG0000048	ENSPTRG00000047995.1, ENSPTRG00000029372.4	ENSG00000213973.9
OG0000048	ENSPTRG00000043133.1, ENSPTRG00000024291.4	ENSG00000182141.10
OG0000048	ENSPTRG00000010758.6	ENSG00000196705.8
OG0000048	ENSPTRG00000010760.5	ENSG00000197020.11, ENSG00000274746.4
OG0000048	ENSPTRG00000033732.3	ENSG00000196268.11
OG0000048	ENSPTRG00000023170.5	ENSG00000183850.14
OG0000048	ENSPTRG00000046645.1	ENSG00000213967.11
OG0000048	ENSPTRG00000029064.4	ENSG00000160321.15, ENSG00000196109.9, ENSG00000276219.4
OG0000048	ENSPTRG00000010752.6	ENSG00000269067.2
OG0000048	ENSPTRG00000029065.4, ENSPTRG00000010765.7	ENSG00000229676.3
OG0000050	ENSPTRG00000018763.6	ENSG00000130368.6
OG0000051	ENSPTRG00000012591.6	ENSG00000136531.17
OG0000051	ENSPTRG00000012595.6	ENSG00000144285.21
OG0000051	ENSPTRG00000012590.7	ENSG00000153253.18
OG0000051	ENSPTRG00000012597.7	ENSG00000169432.17
OG0000051	ENSPTRG00000009532.6	ENSG00000007314.12
OG0000051	ENSPTRG00000014762.7	ENSG00000183873.16
OG0000051	ENSPTRG00000004959.7	ENSG00000196876.17
OG0000052	ENSPTRG00000045499.1	ENSG00000211785.1
OG0000052	ENSPTRG00000045304.1	ENSG00000211789.2
OG0000052	ENSPTRG00000045951.1	ENSG00000211794.3
OG0000052	ENSPTRG00000048564.1	ENSG00000211801.3
OG0000052	ENSPTRG00000045967.1	ENSG00000211780.3
OG0000052	ENSPTRG00000046905.1	ENSG00000211781.3, ENSG00000211800.3
OG0000052	ENSPTRG00000046436.1, ENSPTRG00000043709.1, ENSPTRG00000047479.1, ENSPTRG00000049224.1	ENSG00000211810.3
OG0000052	ENSPTRG00000047741.1	ENSG00000211803.2
OG0000052	ENSPTRG00000050303.1	ENSG00000211779.3
OG0000052	ENSPTRG00000043877.1	ENSG00000211791.2
OG0000052	ENSPTRG00000052207.1	ENSG00000211788.2
OG0000055	ENSPTRG00000034080.3	ENSG00000206517.12, ENSG00000232289.8, ENSG00000223898.8, ENSG00000234347.8, ENSG00000237258.8, ENSG00000230780.8, ENSG00000206472.11, ENSG00000204694.11
OG0000059	ENSPTRG00000048969.1	ENSG00000184009.12
OG0000059	ENSPTRG00000018890.7, ENSPTRG00000041237.2, ENSPTRG00000022897.5, ENSPTRG00000009762.6	ENSG00000075624.16
OG0000059	ENSPTRG00000002086.7	ENSG00000143632.14
OG0000059	ENSPTRG00000048353.1, ENSPTRG00000047394.1	ENSG00000107796.13
OG0000061	ENSPTRG00000004659.4	ENSG00000110848.8
OG0000061	ENSPTRG00000004661.4	ENSG00000110852.4
OG0000061	ENSPTRG00000004662.6	ENSG00000188393.9
OG0000061	ENSPTRG00000043256.1	ENSG00000069493.15
OG0000062	ENSPTRG00000001180.6	ENSG00000134193.15
OG0000063	ENSPTRG00000020823.3	ENSG00000184995.7
OG0000063	ENSPTRG00000048038.1	ENSG00000147873.5
OG0000063	ENSPTRG00000041238.2	ENSG00000120235.4
OG0000063	ENSPTRG00000043432.1, ENSPTRG00000050673.1	ENSG00000233816.3, ENSG00000197919.6
OG0000063	ENSPTRG00000044822.1	ENSG00000228083.3
OG0000063	ENSPTRG00000044382.1	ENSG00000214042.1
OG0000063	ENSPTRG00000045595.1	ENSG00000186803.3, ENSG00000234829.4
OG0000063	ENSPTRG00000048249.1	ENSG00000137080.4
OG0000063	ENSPTRG00000045477.1	ENSG00000120242.4
OG0000063	ENSPTRG00000020820.3	ENSG00000188379.7
OG0000063	ENSPTRG00000048978.1	ENSG00000177047.6
OG0000064	ENSPTRG00000049723.1	ENSG00000244116.3, ENSG00000282025.1, ENSG00000242534.2, ENSG00000243264.2, ENSG00000211623.2
OG0000064	ENSPTRG00000044845.1, ENSPTRG00000049020.1, ENSPTRG00000048779.1, ENSPTRG00000051521.1, ENSPTRG00000014031.5, ENSPTRG00000052131.1, ENSPTRG00000047568.1	ENSG00000282182.1, ENSG00000251039.2, ENSG00000273962.1
OG0000065	ENSPTRG00000006682.3	ENSG00000165953.9
OG0000065	ENSPTRG00000006681.6	ENSG00000170054.14
OG0000065	ENSPTRG00000006683.3	ENSG00000100665.12
OG0000065	ENSPTRG00000023582.6	ENSG00000196136.18
OG0000065	ENSPTRG00000023666.5	ENSG00000277377.4, ENSG00000197249.14
OG0000069	ENSPTRG00000005060.3	ENSG00000135437.9
OG0000069	ENSPTRG00000005113.5	ENSG00000139547.7
OG0000069	ENSPTRG00000005112.4	ENSG00000170426.2
OG0000070	ENSPTRG00000011427.5	ENSG00000182986.14
OG0000070	ENSPTRG00000011413.5	ENSG00000204604.12
OG0000070	ENSPTRG00000048860.1	ENSG00000198538.11
OG0000070	ENSPTRG00000050668.1	ENSG00000213799.13
OG0000070	ENSPTRG00000033715.3	ENSG00000196417.13
OG0000070	ENSPTRG00000042866.1	ENSG00000160336.15
OG0000070	ENSPTRG00000028900.4	ENSG00000198346.11
OG0000070	ENSPTRG00000042765.1	ENSG00000258405.11
OG0000070	ENSPTRG00000011412.5, ENSPTRG00000051674.1	ENSG00000198482.13, ENSG00000189190.10, ENSG00000213020.10
OG0000070	ENSPTRG00000048513.1	ENSG00000221874.4, ENSG00000180257.13
OG0000070	ENSPTRG00000011428.5	ENSG00000197385.6
OG0000070	ENSPTRG00000050020.1	ENSG00000167562.12
OG0000070	ENSPTRG00000022655.5	ENSG00000213793.5
OG0000070	ENSPTRG00000011409.5	ENSG00000197497.11
OG0000070	ENSPTRG00000023486.4	ENSG00000197608.11
OG0000070	ENSPTRG00000023174.5	ENSG00000196267.12
OG0000070	ENSPTRG00000028903.2	ENSG00000204611.7
OG0000070	ENSPTRG00000011420.5	ENSG00000170954.11
OG0000070	ENSPTRG00000048687.1	ENSG00000167555.14
