Orthogroup	P_troglodytes.pep	N_naja.pep
OG0000063	ENSPTRG00000020823.3, ENSPTRG00000048038.1, ENSPTRG00000041238.2, ENSPTRG00000043432.1, ENSPTRG00000050673.1, ENSPTRG00000044822.1, ENSPTRG00000044382.1, ENSPTRG00000045595.1, ENSPTRG00000048249.1, ENSPTRG00000045477.1, ENSPTRG00000020820.3, ENSPTRG00000048978.1	Nana12777-RA
OG0000065	ENSPTRG00000006682.3	Nana05575-RB, Nana05575-RA, Nana05574-RA
OG0000069	ENSPTRG00000005060.3	Nana09934-RA
OG0000069	ENSPTRG00000005113.5	Nana10146-RA, Nana10140-RA, Nana10137-RA, Nana10142-RA, Nana10295-RA
OG0000071	ENSPTRG00000011030.6, ENSPTRG00000050646.1, ENSPTRG00000045990.1, ENSPTRG00000051404.1, ENSPTRG00000045877.1, ENSPTRG00000045330.1, ENSPTRG00000049486.1, ENSPTRG00000011067.7, ENSPTRG00000051729.1, ENSPTRG00000048170.1, ENSPTRG00000049328.1, ENSPTRG00000048924.1, ENSPTRG00000050518.1, ENSPTRG00000052731.1, ENSPTRG00000048736.1, ENSPTRG00000047617.1, ENSPTRG00000049320.1, ENSPTRG00000041975.2, ENSPTRG00000011072.6, ENSPTRG00000011063.4, ENSPTRG00000011032.6, ENSPTRG00000011031.6, ENSPTRG00000011061.7, ENSPTRG00000011033.7, ENSPTRG00000011029.4	Nana30659-RB, Nana30659-RA, Nana30662-RA, Nana34398-RA
OG0000072	ENSPTRG00000023694.5, ENSPTRG00000003796.6	Nana35916-RA
OG0000072	ENSPTRG00000018194.7	Nana00984-RA
OG0000073	ENSPTRG00000029753.4, ENSPTRG00000029754.4, ENSPTRG00000040614.2, ENSPTRG00000049334.1	Nana36370-RA
OG0000073	ENSPTRG00000006439.5	Nana05770-RA
OG0000074	ENSPTRG00000049562.1, ENSPTRG00000052186.1, ENSPTRG00000043298.1, ENSPTRG00000052633.1, ENSPTRG00000052290.1, ENSPTRG00000043326.1, ENSPTRG00000043797.1	Nana11137-RA, Nana11138-RA
OG0000077	ENSPTRG00000011432.6, ENSPTRG00000002198.7	Nana12814-RA, Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA, Nana04248-RA, Nana04224-RA, Nana04218-RA, Nana08643-RA
OG0000077	ENSPTRG00000003118.7	Nana04298-RA
OG0000081	ENSPTRG00000000197.7	Nana37639-RA
OG0000081	ENSPTRG00000046509.1, ENSPTRG00000042992.1, ENSPTRG00000042935.1	Nana37247-RA
OG0000083	ENSPTRG00000046869.1	Nana06622-RA, Nana06624-RA
OG0000083	ENSPTRG00000009039.6, ENSPTRG00000047483.1, ENSPTRG00000045727.1, ENSPTRG00000009037.6, ENSPTRG00000043187.1, ENSPTRG00000030907.4, ENSPTRG00000033677.3	Nana00630-RA
OG0000085	ENSPTRG00000006031.6	Nana02961-RA
OG0000085	ENSPTRG00000022173.6	Nana32101-RD
OG0000085	ENSPTRG00000006032.7	Nana02958-RA
OG0000085	ENSPTRG00000012991.7	Nana20286-RB
OG0000085	ENSPTRG00000012992.7	Nana20288-RA
OG0000086	ENSPTRG00000013737.4	Nana13407-RA
OG0000086	ENSPTRG00000016737.5, ENSPTRG00000048890.1, ENSPTRG00000051935.1, ENSPTRG00000051235.1, ENSPTRG00000047542.1, ENSPTRG00000018347.7	Nana02319-RA
OG0000087	ENSPTRG00000008746.7	Nana09343-RA, Nana09343-RB
OG0000087	ENSPTRG00000007810.7	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA
OG0000087	ENSPTRG00000014309.6	Nana27331-RA
OG0000087	ENSPTRG00000011333.6	Nana23710-RA
OG0000090	ENSPTRG00000022723.5	Nana31033-RB, Nana31033-RA, Nana31033-RC
OG0000091	ENSPTRG00000000940.5, ENSPTRG00000000938.6, ENSPTRG00000034354.2, ENSPTRG00000000937.5, ENSPTRG00000000934.6, ENSPTRG00000048580.1, ENSPTRG00000000935.6, ENSPTRG00000000939.6	Nana30970-RA
OG0000092	ENSPTRG00000052468.1, ENSPTRG00000010637.6	Nana12893-RB, Nana12893-RC, Nana12893-RA
OG0000092	ENSPTRG00000007141.6	Nana32804-RA, Nana32804-RB
OG0000092	ENSPTRG00000024321.6	Nana32804-RC
OG0000093	ENSPTRG00000005286.7	Nana27045-RA
OG0000093	ENSPTRG00000001873.7	Nana14174-RA
OG0000093	ENSPTRG00000022399.4	Nana10674-RA
OG0000094	ENSPTRG00000030707.2, ENSPTRG00000048603.1, ENSPTRG00000006493.6	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA
OG0000095	ENSPTRG00000009610.3, ENSPTRG00000030785.2, ENSPTRG00000009615.6	Nana09550-RA
OG0000095	ENSPTRG00000009613.5, ENSPTRG00000050623.1, ENSPTRG00000022952.5, ENSPTRG00000009611.3	Nana09552-RA
OG0000099	ENSPTRG00000012967.5	Nana20229-RA
OG0000099	ENSPTRG00000018428.5	Nana02215-RA
OG0000099	ENSPTRG00000015127.3	Nana24836-RA
OG0000100	ENSPTRG00000020084.5, ENSPTRG00000020085.4	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA
OG0000101	ENSPTRG00000049344.1, ENSPTRG00000005080.7	Nana10097-RA, Nana10097-RB, Nana10097-RC
OG0000101	ENSPTRG00000012879.6	Nana03073-RA, Nana03073-RB
OG0000101	ENSPTRG00000024314.6, ENSPTRG00000014860.6	Nana21110-RA
OG0000102	ENSPTRG00000003422.7, ENSPTRG00000003423.6, ENSPTRG00000049319.1, ENSPTRG00000007125.6, ENSPTRG00000047792.1, ENSPTRG00000050528.1, ENSPTRG00000050437.1, ENSPTRG00000043159.1, ENSPTRG00000003421.5	Nana04405-RA
OG0000102	ENSPTRG00000004762.5, ENSPTRG00000042933.1, ENSPTRG00000052843.1	Nana27661-RA
OG0000106	ENSPTRG00000044399.1, ENSPTRG00000032634.2, ENSPTRG00000031176.4, ENSPTRG00000049417.1	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA
OG0000106	ENSPTRG00000052830.1, ENSPTRG00000012676.4, ENSPTRG00000018253.5	Nana03353-RF, Nana03353-RE, Nana03353-RB, Nana03353-RG
OG0000108	ENSPTRG00000019458.7, ENSPTRG00000033773.3, ENSPTRG00000019459.7, ENSPTRG00000019461.7, ENSPTRG00000048873.1	Nana34377-RA, Nana34376-RA
OG0000109	ENSPTRG00000038833.2	Nana21461-RA
OG0000110	ENSPTRG00000006589.6	Nana35843-RA, Nana05423-RA
OG0000110	ENSPTRG00000047199.1	Nana05425-RA, Nana00887-RA
OG0000111	ENSPTRG00000016192.3	Nana17605-RA, Nana17605-RB
OG0000111	ENSPTRG00000045367.1, ENSPTRG00000019200.6, ENSPTRG00000046053.1, ENSPTRG00000048384.1	Nana32413-RA, Nana26179-RA
OG0000111	ENSPTRG00000022227.7	Nana08966-RA
OG0000112	ENSPTRG00000022603.4, ENSPTRG00000031179.3, ENSPTRG00000031178.3, ENSPTRG00000043598.1, ENSPTRG00000043146.1, ENSPTRG00000050567.1, ENSPTRG00000039427.2, ENSPTRG00000016116.6	Nana22728-RA
OG0000113	ENSPTRG00000018280.6, ENSPTRG00000032454.4, ENSPTRG00000048903.1, ENSPTRG00000018284.3, ENSPTRG00000032453.3	Nana02420-RA, Nana02419-RA
OG0000115	ENSPTRG00000008721.5, ENSPTRG00000008724.5, ENSPTRG00000008723.4	Nana24320-RA, Nana24321-RA, Nana24323-RA
OG0000115	ENSPTRG00000002458.5	Nana15380-RA, Nana15381-RA, Nana15378-RA
OG0000116	ENSPTRG00000042666.1, ENSPTRG00000009171.4, ENSPTRG00000009172.6, ENSPTRG00000008819.6, ENSPTRG00000009173.6	Nana23099-RA
OG0000116	ENSPTRG00000009132.5, ENSPTRG00000009166.5, ENSPTRG00000009167.5	Nana23092-RA
OG0000116	ENSPTRG00000009168.5	Nana23093-RA, Nana23093-RB
OG0000118	ENSPTRG00000011092.4	Nana30518-RA, Nana38833-RA, Nana38831-RA, Nana30519-RA, Nana30517-RA, Nana38832-RA, Nana38834-RA, Nana30521-RA, Nana30520-RA, Nana38829-RA, Nana30546-RA, Nana30571-RA, Nana30570-RA, Nana30515-RA, Nana35776-RA
OG0000119	ENSPTRG00000000350.6	Nana30054-RA
OG0000119	ENSPTRG00000017982.6	Nana07708-RA
OG0000119	ENSPTRG00000013882.5	Nana24627-RA
OG0000119	ENSPTRG00000018230.7	Nana02918-RA
OG0000121	ENSPTRG00000043323.1, ENSPTRG00000048702.1	Nana15428-RA, Nana15421-RA, Nana15429-RB
OG0000126	ENSPTRG00000021048.7	Nana11693-RA, Nana11693-RB
OG0000126	ENSPTRG00000021047.6	Nana11690-RA
OG0000126	ENSPTRG00000007231.7	Nana33631-RC, Nana33631-RB, Nana33631-RA
OG0000127	ENSPTRG00000019841.5	Nana21098-RA
OG0000128	ENSPTRG00000044163.1, ENSPTRG00000006105.5	Nana23910-RA, Nana23921-RA
OG0000128	ENSPTRG00000043768.1	Nana23918-RA, Nana23911-RA, Nana23912-RA, Nana23913-RA, Nana23915-RA, Nana23917-RA
OG0000129	ENSPTRG00000013505.6	Nana13746-RA
OG0000129	ENSPTRG00000009851.6	Nana16117-RA
OG0000129	ENSPTRG00000000447.7	Nana30228-RA
OG0000129	ENSPTRG00000018587.7	Nana30225-RA, Nana01987-RA
OG0000130	ENSPTRG00000001293.7	Nana36269-RA
OG0000130	ENSPTRG00000034360.3	Nana33055-RA
OG0000131	ENSPTRG00000005018.6, ENSPTRG00000012025.5	Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB
OG0000135	ENSPTRG00000013166.7, ENSPTRG00000047284.1, ENSPTRG00000044253.1, ENSPTRG00000013171.6	Nana13295-RA, Nana38700-RC, Nana38966-RA
OG0000136	ENSPTRG00000052293.1	Nana25848-RA
OG0000136	ENSPTRG00000018793.6	Nana01675-RA, Nana01675-RB
OG0000136	ENSPTRG00000000387.6	Nana30115-RA
OG0000136	ENSPTRG00000022064.4	Nana32194-RC, Nana32194-RA, Nana32194-RB
OG0000137	ENSPTRG00000019421.3	Nana21626-RB, Nana21626-RA
OG0000137	ENSPTRG00000009388.4	Nana23253-RA, Nana23253-RB
OG0000137	ENSPTRG00000012642.6	Nana03410-RA, Nana03410-RB
OG0000138	ENSPTRG00000051226.1, ENSPTRG00000052479.1, ENSPTRG00000046598.1	Nana21262-RA
OG0000138	ENSPTRG00000030133.2	Nana08323-RA
OG0000138	ENSPTRG00000012951.6	Nana03939-RA
OG0000143	ENSPTRG00000020152.4	Nana28454-RA
OG0000143	ENSPTRG00000002655.6	Nana18923-RA, Nana18922-RA
OG0000143	ENSPTRG00000002653.5	Nana18920-RA
OG0000144	ENSPTRG00000052806.1, ENSPTRG00000028357.4	Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA
OG0000146	ENSPTRG00000014859.5, ENSPTRG00000049614.1, ENSPTRG00000007661.4	Nana23491-RA
OG0000146	ENSPTRG00000012456.6	Nana23497-RA
OG0000147	ENSPTRG00000003073.5	Nana19440-RA
OG0000147	ENSPTRG00000015878.6	Nana18452-RA
OG0000147	ENSPTRG00000017380.6	Nana09013-RA
OG0000147	ENSPTRG00000020099.4	Nana28363-RA
OG0000149	ENSPTRG00000010935.5	Nana30762-RA
OG0000149	ENSPTRG00000002144.4	Nana01559-RA
OG0000149	ENSPTRG00000006477.6	Nana04942-RA
OG0000150	ENSPTRG00000007843.6	Nana34186-RA
OG0000150	ENSPTRG00000034486.3	Nana34187-RB
OG0000150	ENSPTRG00000007846.6, ENSPTRG00000007845.6, ENSPTRG00000050863.1	Nana34187-RA
OG0000151	ENSPTRG00000000705.5, ENSPTRG00000000708.7	Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA
OG0000153	ENSPTRG00000004577.6, ENSPTRG00000050523.1, ENSPTRG00000046665.1, ENSPTRG00000039246.2	Nana11108-RA
OG0000153	ENSPTRG00000010848.5	Nana30407-RA
OG0000154	ENSPTRG00000019929.4	Nana21272-RA
OG0000154	ENSPTRG00000012403.3	Nana03716-RA
OG0000154	ENSPTRG00000019048.5, ENSPTRG00000048512.1	Nana39032-RA
OG0000155	ENSPTRG00000004754.5, ENSPTRG00000004750.6, ENSPTRG00000044231.1	Nana27596-RB, Nana27596-RA
OG0000155	ENSPTRG00000004755.7	Nana27598-RA, Nana27600-RA
OG0000156	ENSPTRG00000029617.3	Nana02904-RA
OG0000158	ENSPTRG00000010454.5	Nana36405-RA, Nana10438-RA
OG0000158	ENSPTRG00000047304.1	Nana37069-RA, Nana37069-RB
OG0000158	ENSPTRG00000001017.6	Nana14954-RA, Nana39299-RA, Nana37076-RA
OG0000159	ENSPTRG00000050283.1, ENSPTRG00000042669.1, ENSPTRG00000042977.1, ENSPTRG00000052527.1, ENSPTRG00000042833.1, ENSPTRG00000052579.1, ENSPTRG00000043139.1, ENSPTRG00000050238.1	Nana35151-RA, Nana35150-RA, Nana35148-RA
OG0000160	ENSPTRG00000018016.4, ENSPTRG00000018029.6, ENSPTRG00000018028.6	Nana06954-RA
OG0000162	ENSPTRG00000002016.6, ENSPTRG00000048164.1	Nana01233-RA
OG0000162	ENSPTRG00000043346.1	Nana01232-RB
OG0000162	ENSPTRG00000018215.6	Nana01383-RB, Nana01383-RC, Nana01383-RA
OG0000162	ENSPTRG00000003869.5	Nana35924-RA
OG0000163	ENSPTRG00000010506.5	Nana10880-RA
OG0000163	ENSPTRG00000020830.7	Nana11460-RA, Nana14489-RA
OG0000169	ENSPTRG00000022593.5, ENSPTRG00000047939.1	Nana16688-RB, Nana16688-RC, Nana16688-RA
OG0000169	ENSPTRG00000000573.6	Nana29768-RA
OG0000169	ENSPTRG00000045513.1	Nana16688-RD
OG0000169	ENSPTRG00000013531.5	Nana13679-RA
OG0000171	ENSPTRG00000041356.2, ENSPTRG00000039360.2, ENSPTRG00000049233.1	Nana17789-RA
OG0000172	ENSPTRG00000015341.6	Nana08296-RA, Nana14058-RA
OG0000172	ENSPTRG00000041884.2	Nana27786-RA
OG0000172	ENSPTRG00000022438.5	Nana10639-RA
OG0000174	ENSPTRG00000021945.4	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD
OG0000174	ENSPTRG00000002267.7	Nana27734-RA
OG0000174	ENSPTRG00000014889.5	Nana08485-RD, Nana08485-RC, Nana08485-RB
OG0000179	ENSPTRG00000029843.3, ENSPTRG00000002722.7	Nana19279-RA
OG0000179	ENSPTRG00000002725.6	Nana19294-RA
OG0000179	ENSPTRG00000002732.6	Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA
OG0000181	ENSPTRG00000030826.3, ENSPTRG00000000168.6	Nana37655-RB, Nana14994-RA, Nana29724-RA, Nana27985-RA
OG0000183	ENSPTRG00000000857.4	Nana14703-RA
OG0000183	ENSPTRG00000015247.3	Nana24962-RA
OG0000183	ENSPTRG00000004488.5	Nana28668-RA, Nana28665-RA
OG0000184	ENSPTRG00000016855.4	Nana12380-RA
OG0000184	ENSPTRG00000007258.3	Nana33040-RA
OG0000184	ENSPTRG00000001420.4	Nana36072-RA
OG0000184	ENSPTRG00000041761.2, ENSPTRG00000049419.1	Nana06340-RA
OG0000185	ENSPTRG00000002066.5	Nana21120-RA
OG0000185	ENSPTRG00000019651.5, ENSPTRG00000015051.5	Nana08360-RA
OG0000185	ENSPTRG00000004891.4	Nana10173-RA
OG0000186	ENSPTRG00000015883.6	Nana18448-RA
OG0000186	ENSPTRG00000003065.6	Nana19444-RA
OG0000186	ENSPTRG00000042450.2	Nana09006-RA
OG0000187	ENSPTRG00000001112.6	Nana14009-RA
OG0000187	ENSPTRG00000014922.5	Nana08636-RA
OG0000188	ENSPTRG00000010404.7, ENSPTRG00000010403.7, ENSPTRG00000039006.2	Nana10451-RA, Nana10448-RA, Nana10449-RA
OG0000193	ENSPTRG00000005408.4	Nana34739-RA, Nana34739-RB
OG0000193	ENSPTRG00000003959.7	Nana04026-RB, Nana04026-RA
OG0000193	ENSPTRG00000007989.5	Nana23748-RA
OG0000194	ENSPTRG00000034469.3	Nana04300-RA
OG0000194	ENSPTRG00000001140.5	Nana13959-RA
OG0000196	ENSPTRG00000006118.7, ENSPTRG00000039710.2, ENSPTRG00000043469.1, ENSPTRG00000045559.1, ENSPTRG00000043496.1	Nana37778-RA, Nana38985-RD, Nana38985-RE, Nana38985-RB, Nana38985-RC, Nana38985-RA
OG0000197	ENSPTRG00000016622.6	Nana18220-RA
OG0000197	ENSPTRG00000017505.6	Nana09163-RA
OG0000197	ENSPTRG00000004118.5	Nana25443-RA
OG0000197	ENSPTRG00000022250.5	Nana32135-RA
OG0000198	ENSPTRG00000000527.6	Nana29992-RA
OG0000198	ENSPTRG00000000529.6	Nana29987-RA
OG0000198	ENSPTRG00000020622.7	Nana17024-RD, Nana17024-RB
