Pm_gene_id,Nn_target_id,description,class,Pm_1,Pm_10,Pm_11,Pm_12,Pm_13,Pm_14,Pm_15,Pm_16,Pm_17,Pm_18,Pm_19,Pm_2,Pm_20,Pm_21,Pm_22,Pm_23,Pm_24,Pm_25,Pm_26,Pm_27,Pm_28,Pm_29,Pm_3,Pm_30,Pm_4,Pm_5,Pm_6,Pm_7,Pm_8,Pm_9,Pm_1_heart,Pm_10_heart,Pm_3_heart,Pm_5_heart,Pm_8_heart,Pm_1_kidney,Pm_10_kidney,Pm_3_kidney,Pm_5_kidney,Pm_8_kidney,Pm_1_liver,Pm_10_liver,Pm_3_liver,Pm_5_liver,Pm_8_liver,sg_1,sg_2,sg_3,sg_4,hrt_1,hr2_2,kidn_1,kidn_2,kidn_3,livr_1,livr_2,livr_3,Naja_vg_1,Naja_vg_2,Naja_vg_3,Naja_vg_4,Naja_vg_5,Naja_vg_6,Naja_liv_1,Naja_liv_2,Naja_kid_1,Naja_kid_2,Naja_pan_1,Naja_pan_2,Naja_sg_1
107282173,Nana06103,paralemmin,NA,1336.07,2773.37,3782.19,3106.99,1470.37,2139.6,2855.67,1578.38,2534.56,1280.98,850.8,786.5,1198.68,2788.96,2581.87,2652.25,1017.02,450.54,1736.64,1147.63,2303.97,1644.17,968.79,407.88,1216.59,2301.69,2108.94,2717.62,734.67,3300.34,2088.71,5196.95,2137,15468.68,2017.88,3007.34,2925.37,4999.65,3926.35,2343.75,6028.74,5736.67,2638.32,3898.22,4382.9,25.07,16.6,22.92,18.78,328.5,289.52,178.98,176.76,176.98,244.69,235.27,244.45,3.12614,3.52515,7.63685,5.09874,6.77702,1.69515,14.6935,19.3772,2.1896,6.49,4.98315,1.52801,4.69988
107282174,Nana06112,KISS1 receptor,NA,4,2,7,2,0,5,0,0,2,7,3,0,1,0,0,1,0,1,2,1,0,3,1,3,7,9,3,1,2,5,0,1,2,16,2,0,0,1,1,0,0,0,1,0,0,1.53,1.11,1.46,1.07,147.92,121.36,154.89,142.78,157.68,216.96,215.49,211.65,0.551694219,0.997035809,0.478948166,0.516613868,1.687024141,0.121555136,0.973753764,0.587878674,0.773978891,0.99042535,0.352167013,0.140506097,1.019645288
107282176,Nana06125,YjeF N-terminal domain containing 3,NA,3,2,1,1,1,0,0,4,0,5,2,2,0,9,4,5,0,3,5,13,6,1,6,4,4,0,4,0,3,0,3,0,1,2,0,0,0,2,0,0,0,2,0,0,0,0.05,0,0.02,0,0.03,0.03,0.58,0.48,0.61,0.02,0.02,0,0,0,0,0,0.0719151,0,0,0,0.13438,0,0.744059,0.276167,0.135674
107282177,Nana06126,cartilage intermediate layer protein 2,NA,6,3,1,0,6,5,6,12,1,18,1,0,0,11,17,19,9,27,4,24,12,1,1,0,16,2,11,1,1,3,1,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0.2,0.21,0.08,0.14,1.96,1.98,2.51,2.05,2.14,1.32,1.25,1.29,0.029162,0.171528,0.122882,0.0415489,0.763359,0.598062,0,0,0,0,0.216634,0.0224345,0.235125
107282178,Nana01930,microtubule associated protein 7,NA,857,543,514,389,323,305,306,347,423,453,489,534,253,348,469,354,841,560,528,763,470,275,967,448,579,268,448,567,363,484,9,51,12,54,7,494,317,742,560,682,121,220,118,106,186,0.44,0.72,0.72,0.57,14.82,12.9,47.07,45.22,47.49,0.47,0.4,0.42,13.7141,3.80506,20.1827,21.73,26.8861,14.4029,1.76498,5.07314,16.1013,23.3589,6.22767,7.2838,46.2433
107282180,Nana06139,major facilitator superfamily domain containing 12,NA,161,54,55,71,38,37,49,19,58,22,39,84,30,40,42,34,43,42,48,34,64,49,67,35,93,43,48,125,19,237,9,34,9,31,9,50,40,89,113,66,78,93,61,67,163,0.02,0.04,0.03,0.03,1.72,1.67,4.42,3.55,4.28,0.87,0.64,0.95,16.8162,10.0822,37.0386,20.1163,58.1971,25.7642,27.653,69.2946,29.9236,19.7749,8.95783,2.10405,18.6469
107282182,Nana06152,nuclear factor I/C (CCAAT-binding transcription factor),NA,154,129,179,106,195,96,163,182,181,179,199,304,117,160,106,138,123,167,160,111,55,146,421,133,398,84,172,263,275,184,34,31,68,151,24,87,41,76,47,45,32,56,48,64,113,1.35,1.47,1.27,0.86,40.18,36.31,43.06,42.32,41.55,14.86,13.21,13.22,1.871,4.81843,2.17342,2.85306,4.31549,0.16667,5.62484,1.91518,6.24666,4.62198,2.89279,0.992001,6.13482
107282183,Nana06161,ATPase phospholipid transporting 8B3,NA,0,9,37,3,1,6,2,7,9,5,7,10,11,2,1,0,7,0,17,9,1,12,49,13,26,10,11,4,35,0,0,0,0,63,1,0,0,2,3,3,0,0,0,0,0,2.52,2.44,3.46,2.97,14.01,13.32,122.42,122.89,120,90.41,85.76,98.11,37.17268,4.584999,53.40192,68.85507,81.5784,11.95339,0.266121,0.107789,0.1216024,0.16917,0.296305,0.0165307,8.70836
107282188,Nana06207,ADAM metallopeptidase with thrombospondin type 1 motif 10,NA,3,10,6,1,2,6,2,7,9,8,10,6,11,3,1,4,3,5,10,9,5,8,27,7,8,5,3,4,9,2,1,3,2,22,13,0,2,2,4,3,4,3,3,0,6,14.63,11.95,14.01,13.83,5.33,5.36,9.79,9.15,9.44,8.66,8.4,8.6,0.428007,0.141609,0.39452,0.583129,0.35369,0.117558,0.123981,0.227759,0.63086,0.91689,1.28633,0.864329,1.87036
107282189,Nana06208,tyrosine-protein kinase ZAP-70,NA,1,1,4,0,0,1,0,3,2,1,28,0,10,4,1,1,1,5,4,0,4,17,0,0,3,9,1,0,1,0,0,1,1,48,4,1,2,3,5,1,0,3,3,2,0,1.96,1.05,2.78,1.61,9.4,8.77,20.01,20.71,20.78,42,39.79,43.38,0.0641673,0.0339683,0.162231,0.460773,0.0154256,0.0422988,0.356879,0.146945,0.0864724,0.311578,3.92613,0.103665,1.46964
107282195,Nana12111,hyaluronan and proteoglycan link protein 1,NA,19,132,97,19,9,35,9,4,51,17,63,22,25,22,28,34,35,6,152,19,29,49,40,29,31,28,52,3,75,20,0,22,1,21,21,0,0,2,0,1,0,1,0,0,0,9.26,5.02,5.91,6.51,3.46,3.4,124.25,116.89,124.71,203.9,202.12,199.09,0.156311,0,0.444594,0.0501089,0.164398,1.41679,0,0,0.0438847,0,0,0,0.398765
107282203,Nana05993,zinc finger protein 511,NA,48,47,62,36,40,42,16,38,29,13,45,41,27,22,23,11,15,27,62,21,30,38,98,45,49,34,27,23,45,38,33,23,43,26,34,25,19,14,38,28,7,26,10,14,17,22.98,3.02,1.78,0.17,10.32,9.28,45.85,44.7,45.1,0,0,0,1.29093,1.29288,2.02885,1.99834,4.83676,2.45326,1.99438,2.97061,2.45539,2.95648,2.74801,0.697868,2.69001
107282204,Nana05994,tubulin gamma complex associated protein 2,NA,276,488,527,187,218,387,96,260,295,164,457,352,444,199,205,230,190,212,629,236,168,632,1132,599,419,299,283,158,431,154,305,244,306,177,270,322,222,271,222,203,54,123,56,57,167,48.8,0.52,280.87,0.09,451.77,358.24,453.46,423.18,446.88,0.09,0.28,0.08,1.79828,1.64326,3.81583,3.17063,4.96632,2.04626,3.10067,2.95094,11.8765,10.0742,4.72567,1.4946,8.88393
107282208,Nana06001,adaptor related protein complex 1 mu 1 subunit,NA,1507,612,938,746,1597,579,592,707,511,990,918,831,697,719,494,800,1110,1432,1053,715,491,894,2275,1129,2883,322,1088,173,1100,505,133,43,186,243,222,490,358,455,442,514,213,500,328,327,597,2.08,0.09,4.83,0,0.27,0.46,8.84,6.94,7.93,0.27,0.23,0.06,18.02,8.26656,32.6734,22.3097,28.434,12.4168,32.7338,29.6785,49.927,32.6237,14.1482,5.69553,25.0765
107282209,Nana06002,"RAB8A, member RAS oncogene family",NA,1358.76,808.83,1152.75,904.58,583.94,448.86,227,574.92,591.83,263,798.51,934.79,631.92,433.81,455.93,529.93,440.87,460.91,1027.66,335.9,538,1105.63,1433.27,1172.21,1078.67,1399.87,666.91,489.45,1030.75,614.59,558,593,439,234,717,935,947,1240,1488,760,376,339,215,373,296,0.21,0.35,0.22,0.2,5.72,4.68,4.23,4.07,4.14,4.92,4.7,4.87,15.0623,13.015,29.5791,17.8285,46.9259,31.389,14.5383,12.5199,52.6493,21.5112,8.82111,2.8697,28.4846
107282210,Nana06003,family with sequence similarity 32 member A,NA,744,792,1851,987,543,1189,468,645,1340,389,1586,1319,1063,605,494,609,409,395,2004,200,580,955,917,2071,1379,1789,979,644,1616,559,629,624,380,485,863,1160,871,1325,2243,1990,845,517,446,1050,887,0.45,0.64,0.64,0.53,8.58,6.99,25.99,25.17,25.85,8.19,7.92,8.02,9.62552,56.7144,20.8019,15.6015,39.1099,36.3325,16.4166,12.1014,67.1404,51.6976,17.6989,13.252,24.7267
107282212,Nana06006,Kruppel-like factor 2,NA,174,807,699,394,186,431,79,175,532,162,547,403,311,158,134,282,82,126,834,176,213,417,1020,619,527,681,251,171,600,264,1964,1202,438,536,482,256,146,178,205,53,108,123,60,103,58,1.2,0.29,0.41,0.31,1.43,0.96,4.31,4.99,5.76,4.87,4.1,3.84,8.90226,10.2598,12.5929,10.3787,8.56392,3.11124,12.962,14.7001,10.9615,29.8878,35.03,4.03265,24.3544
107282213,Nana06007,epidermal growth factor receptor pathway substrate 15-like 1,NA,163,122,162,73,152,87,52,122,89,134,147,139,68,95,69,102,85,138,158,115,59,165,298,167,285,83,73,38,159,61,40,22,49,67,41,70,45,61,66,45,15,61,21,42,56,0.63,1.08,1.1,1.14,22.27,17.28,26.46,25.74,27.57,4.04,4.06,3.06,2.74181,2.99946,5.07456,4.26081,8.22459,1.6143,5.00736,3.76407,12.4996,14.5108,12.1819,5.70726,13.0773
107282217,Nana06012,solute carrier family 35 member E1,NA,51,34,30,32,23,16,16,24,19,9,31,13,20,16,13,19,22,18,23,12,8,16,69,27,50,22,34,25,29,18,22,19,24,49,13,47,32,60,54,31,12,30,25,31,26,1.29,1.07,1.04,0.96,7.91,8.44,15.2,12.3,13.55,8,9.62,6.34,1.39007,1.52139,2.75564,2.07575,8.09864,0.956559,2.79481,1.73822,5.97149,5.97087,3.48891,1.29496,9.40804
107282218,Nana06015,transmembrane protein 38A,NA,370,1675,1166,625,509,2201,136,784,134,779,1613,643,969,395,360,420,73,80,793,398,287,2221,534,1380,1941,1279,438,459,3601,58,130,76,115,27,91,22,10,3,12,2,2,4,1,3,2,0.09,0.02,0.05,0.03,5.93,4.21,4.05,4.1,4.98,7.73,8.45,7.68,5.36036,45.5317,3.5402,3.01292,4.85033,1.72583,2.26744,1.76973,9.16831,3.40058,1.39144,0.607676,2.1477
107282221,Nana06041,Rho/Rac guanine nucleotide exchange factor 18,NA,45,42,38,25,11,11,14,24,30,18,36,26,14,14,28,15,47,16,41,27,9,30,48,31,34,26,34,24,32,19,36,21,35,51,32,23,22,24,17,17,4,10,3,12,19,1.04,0.45,0.78,0.83,37.59,36.36,17.74,19.88,20.11,12.73,14.68,14.52,4.23439,1.59483,6.13994,7.44277,10.1767,2.29767,8.01381,5.47656,13.2136,9.94721,6.33157,2.03354,19.2164
107282223,Nana06048,unconventional SNARE in the ER 1 homolog (S. cerevisiae),NA,204,96,74,45,48,28,13,102,34,43,132,158,66,91,52,45,164,72,40,115,66,158,233,49,278,36,43,45,94,14,37,21,63,21,72,99,90,103,72,128,42,61,57,26,77,1.11,5.65,2.56,0.56,1.76,1.62,0.88,1.43,1.17,0.04,0.03,0.02,4.97813,1.89645,11.7872,7.59882,16.5724,7.31422,11.1153,8.87446,44.5897,34.5635,8.78046,4.57038,9.43257
107282224,Nana06050,"lon peptidase 1, mitochondrial",NA,80,36,47,65,40,28,40,17,57,41,65,85,26,52,28,29,43,44,61,48,16,59,200,64,108,58,28,101,57,86,26,48,31,26,27,60,37,58,47,38,39,25,42,31,53,1.01,1.19,1,0.92,10.33,9.94,17.55,17.63,18.17,11.93,12.76,12.48,4.35853,1.65991,8.18533,4.3927,7.02914,2.06699,15.6955,6.66285,52.7056,31.112,6.07349,2.27054,10.8079
107282230,Nana06066,"RAB3A, member RAS oncogene family",NA,124,118,114,64,95,89,37,84,39,69,101,104,76,84,33,65,70,52,106,76,48,195,202,93,232,53,90,33,106,38,13,10,19,15,15,38,3,17,17,13,4,7,4,4,14,0.3,0.53,0.34,0.25,0.08,0.06,0.05,0.05,0.03,0.02,0.05,0.1,4.19759,6.05036,7.16576,6.74293,7.07223,3.91912,5.01215,2.51894,6.90685,6.9244,5.69822,3.02814,14.0281
107282231,Nana06078,pyroglutamyl-peptidase I,NA,45,72,121,37,50,40,22,62,72,119,99,58,89,42,107,41,66,36,54,65,51,108,142,58,83,34,88,10,207,28,42,11,56,25,42,275,167,214,124,211,11,40,17,28,49,1.07,1.51,1.29,1.19,7.09,6.43,7.4,6.64,7.13,12.14,12.75,12.6,5.61941,1.07521,5.81986,7.63977,15.6247,0.8926,8.47232,7.63291,50.181,31.9081,4.71505,2.03131,11.8216
107282232,Nana06085,elongation factor for RNA polymerase II,NA,192,93,130,87,119,56,30,78,117,74,162,153,80,105,89,69,99,94,179,64,58,110,311,144,212,92,91,110,115,93,80,47,47,107,67,106,55,72,108,82,63,60,42,30,71,0.01,0.07,0.02,0.04,0,0.02,0.03,0.01,0.01,0,0,0,5.26867,3.08267,7.1931,7.73734,14.8256,3.30857,9.92181,21.9766,11.2294,17.6073,5.80042,2.44473,16.5693
107282233,Nana06088,DET1 and DDB1 associated 1,NA,556,607,442,345,304,358,166,289,353,150,450,492,318,246,211,270,264,222,425,188,259,423,661,391,691,466,409,331.73,437.01,359,262,301,252,125,273,313,315,413,322,268,107,202,84,85,135,3.11,4.31,2.77,3.17,67.86,59.64,94,95.3,96.04,32.17,34.74,36.26,0.0310279,1.33551,0.755167,0,3.83868,2.66241,1.47559,1.16164,4.98081,3.35006,0.146226,0,0
107282234,Nana06093,plasmalemma vesicle associated protein,NA,730,1701,1506,777,427,792,586,462,1215,569,1003,1623,729,638,855,895,508,1002,2023,819,488,1236,1962,1477,1515,1345,862,376,632,1249,3493,1941,2052,1313,1033,1937,1325,2378,1554,938,257,163,227,254,137,0,0,0.01,0.02,0.22,0.15,0.88,1.05,1.09,0,0,0,8.77362,14.1277,16.5517,14.6908,14.4074,4.2916,25.5451,12.8923,35.6102,28.9612,59.672,9.31314,14.933
107282238,Nana01929,mitogen-activated protein kinase kinase kinase 5,NA,30,88,123,18,31,41,9,32,54,25,151,37,50,22,49,38,14,46,98,37,28,93,169,57,97,79.98,53,14,67,18,37,35,38,77,66,351,240,277,157,158,36,117,99,72,154,30.47,24.5,26.23,26.26,59.34,64.17,74.96,86.74,83.19,184.53,185.69,206.61,0.839519,1.88023,0.995952,1.27524,1.91727,0.893965,17.1801,19.9305,27.5003,24.6064,2.82693,0.596166,5.97478
107282241,Nana06116,AT-rich interaction domain 3A,NA,39,26,29,27,33,11,26,30,42,27,42,26,9,42.01,42,36,43,54.86,20,42,28,34,37,42,47,13,44.22,58,20,22,6,7,7,44,2,16,4,8,8,5,2,8,6,1,6,235.54,35.84,19.55,0.76,40.9,31.57,934.43,896.39,927.42,0.31,0.34,0.27,5.60184,2.21121,10.2496,9.83524,7.45474,2.97626,4.83675,2.04313,4.08059,6.36702,4.23976,1.20113,8.99691
107282242,Nana06117,ring finger protein 126,NA,243,90,139,119,173,154,58,115,121,71,250,177,112,57,52,60,110,96,164,57,75,185,200,225,403,108,122,241,353,162,55,34,52,37,50,132,74,103,54,51,86,89,51,69,121,0.12,0.2,0.14,0.11,4.28,2.72,13.31,13.23,13.76,7.95,8.98,7.61,21.9807,12.7758,30.8074,26.0315,39.389,13.2574,33.7756,28.0087,24.658,31.5608,17.4194,12.3957,35.3043
107282245,Nana06128,"cactin, spliceosome C complex subunit",NA,45,48,100,45,42,33,31,39,52,46,57,85,33,44,31,47,36,44,80,37,30,69,122,56,66,51,37,67,46,50,16,49,17,36,25,62,31,43,65,36,33,101,51,60,77,4.45,2.85,3.26,2.75,12.08,11.2,14.45,14.22,12.65,10.23,7.13,8.23,7.70837,4.53031,9.7989,11.3619,15.6274,3.17011,12.7343,23.2391,16.289,22.0175,9.88509,4.20937,18.933
107282246,Nana06135,fizzy/cell division cycle 20 related 1,NA,117,77,178,94,195,143,94,187,145,197,200,290,175,96,62,176,98,118,346,95,167,360,271,330,352,91,149,102,266,147,41,27,62,59,27,190,43,108,105,96,61,116,123,94,163,0.3,0.15,0.56,0.32,4.2,3.66,9.1,8.42,8.47,2.26,2.59,2.21,3.2652,2.75808,6.78833,4.78289,5.44052,2.53683,9.3023,7.28498,10.6448,14.4843,7.97405,2.9788,11.0158
107282250,Nana06155,abhydrolase domain containing 17A,NA,187,130,163,140,143,120,89,134,163,143,114,183,81,70,118,147,105,82,186,55,78,102,193,163,321,95,172,316,214,273,43,73,44,188,53,51,50,102,68,41,60,83,42,79,88,1.18,2.95,1.55,1.48,11.92,8.7,3.11,3.44,2.8,1.01,0.99,0.9,6.062345,5.6537,7.428355,7.98716,10.7441,4.73452,18.020478,9.76544,12.80225,12.14073,9.71939,4.091185,15.52399
107282257,Nana06192,IZUMO family member 4,NA,38,15,11,21,12,22,7,10,14,25,23,21,15,24,26,14,13,7,34,11,19,14,9,16,15,18,19,67,17,13,23,23,24,12,20,42,24,32,22,15,2,3,1,4,12,0.62,0.89,0.45,0.57,10.32,9.47,18.83,16.72,18.36,9.59,10.73,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0
107282258,Nana06193,adaptor related protein complex 3 delta 1 subunit,NA,434,199,365,216,292,162,170,220,274,205,331,435,208,250,148,197,194,278,246,219,162,352,639,373,633,160,284,359,240,327,91,109,124,271,84,170,161,179,161,160,73,190,101,145,168,10.66,9.15,9.27,7.28,5.3,5.57,10.79,11.71,11.77,5.17,4.26,3.64,12.0725,11.1385,16.984,17.5745,23.1238,2.82493,17.8935,9.29007,29.1355,18.7467,9.60254,4.30366,26.0892
107282259,Nana06198,pleckstrin homology domain containing J1,NA,194,144,307,266,175,132,131,66,230,67,86,172,72,51,61,53,71,173,267,86,61,157,122,319,249,242,265,348,208,361,30,41,24,78,107,117,169,158,471,311,48,83,45,175,188,0.33,0.27,0.15,0.08,5.9,6.14,3.32,3.5,2.9,0.62,0.34,0.33,19.3767,10.9989,33.7226,27.3799,52.9359,16.3255,20.7211,19.4603,58.1243,45.649,22.1707,9.63327,42.7405
107282266,Nana06013,mediator complex subunit 26,NA,66,60,64.02,55,46,23,39,28.63,61,21,49.35,61,29,44,36,28,45,20,54,24,24,49,105,53.51,75,64,34.01,51,38.02,38.01,21,39,18,52,19,38,27,37,28,24,27,35,25,22,42,0,0,0,0,0,0.05,0,0.11,0.06,0.03,0.03,0,1.99528,2.55149,4.15752,3.0266,6.19382,1.56525,4.05712,4.07668,8.4375,5.55741,3.07636,1.09602,4.47636
107282267,Nana06014,small integral membrane protein 7,NA,143,166,176,173,79,85,40,84,123,54,97,113,82,65,71,46,79,48,161,78,84,132,176,161,111,117,120,87,95,86,143,164,163,45,199,347,369,435,398,260,118,144,93,113,125,0,0,0,0,0,0.02,0.05,0,0.04,0,0,0,14.3777,20.3859,31.0765,21.9757,45.7818,37.4591,30.7841,18.8585,94.6693,49.3256,23.2945,7.90878,33.0856
107282270,Nana06019,F2R like thrombin/trypsin receptor 3,NA,41,66,149,31,51,36,11,35,41,20,164,52,89,49,20,44,36,29,119,39,38,135,133,142,87,62,51,29,80,30,216,63,190,124,193,40,23,41,50,32,28,58,41,62,83,0,0,0,0,0.17,0.05,0.06,0.06,0.06,318.52,302.81,319.33,0.788031,0.679099,0.834005,0.986982,0.9472,1.51008,11.8913,12.1222,2.34618,3.79505,8.38703,1.20542,7.35568
107282273,Nana06025,phosphoinositide-3-kinase regulatory subunit 2,NA,41,36,57,25,36,24,29,38,28,39,35,79,31,27,33,37,32,33,57,53,29,48,187,65,106,12,41,21,20,12,20,6,15,48,11,93,35,59,26,42,26,46,24,26,30,0,0,0,0,0,0.02,0.02,0.05,0,0,0,0,14.6352,2.204763,25.0073,36.6089,32.2381727,8.802395,19.64693224,14.5748,201.651176,154.41443,24.4039,9.4756,57.856468
107282274,Nana06026,microtubule associated serine/threonine kinase 3,NA,4,10,4,27,15,8,15,5,8,5,11,6,1,12,11,15,18,15,12,12,11,11,11,4,18,2,17,28,2,23,6,9,9,128,14,31,5,12,7,10,12,25,3,6,31,0.22,0.33,0.24,0.24,2.28,1.69,2.2,2.16,2.32,8.52,8.86,9.1,2.698333,0.272805,3.49179,8.26134,8.64913,0.339694,6.28621,8.02583,19.53942,11.97062,8.02484,2.081522,4.461257
107282275,Nana06049,ribosomal protein L36,NA,4299,1906,2935,3923,2170,2199,1460,1363,3634,1549,1663,2498,1183,2145,1579,1493,1486,1421,3233,986,1578,1566,2107,1960,2876,2685,1938,11162,2038,3369,2480,4679,2845,435,3160,4928,4346,6049,2929,3412,3568,3734,2139,1919,3404,0.02,0,0,0,0.09,0.14,0.23,0.15,0.11,0,0.12,0.09,443.809,765.551,944.002,550.766,3864.87,1179.99,1195.9,1607.62,3126.85,2356.59,852.072,499.063,714.358
107282276,Nana06054,NADH:ubiquinone oxidoreductase subunit A11,NA,772,535,736,1154,661,415,353,468,873,441,590,513,520,515,418,443,411,378,747,257,573,681,565,710,668,800,585,1664,901,626,1564,1531,1399,140,1994,515,453,698,478,412,389,514,365,329,462,0.51,0.78,0.57,0.44,0.56,0.57,2.92,3,3.12,2.79,2.66,3.01,25.1886,56.0602,33.4299,26.8519,57.604,67.8366,39.6537,70.1929,61.9491,42.0399,18.8991,11.1848,37.3103
107282278,Nana06065,MPV17 mitochondrial membrane protein-like 2,NA,38,29,29,43,26,4,7,14,16,8,10,20,13,35,20,23,25,31,20,23,14,28,28,9,37,44,12,33,17,15,15,15,11,12,24,51,24,27,46,24,6,23,24,43,9,6.23,2.97,6.26,3.98,18.68,16.07,74.69,72.77,78.69,139.27,131.3,130.9,4.18496,2.2147,7.13453,4.06189,11.211,1.433,7.26665,5.56354,9.28978,2.48368,1.65267,0.19879,4.54153
