gene,description,Pm_1,Pm_10,Pm_11,Pm_12,Pm_13,Pm_14,Pm_15,Pm_16,Pm_17,Pm_18,Pm_19,Pm_2,Pm_20,Pm_21,Pm_22,Pm_23,Pm_24,Pm_25,Pm_26,Pm_27,Pm_28,Pm_29,Pm_3,Pm_30,Pm_4,Pm_5,Pm_6,Pm_7,Pm_8,Pm_9,Mus_sg_1,Mus_sg_2,Mus_sg_3,Mus_sg_4,Homo_sg_1,Homo_sg_2,Canis_sg_1,Canis_sg_2
107282362,"solute carrier family 15 (oligopeptide transporter), member 1",3753,455,2,1259,880,497,450,324,326,487,81,2402,2,527,1144,537,407,351,134,449,591,1,1,136,1949,8,2803,1140,23,555,0.0368144,0.0744743,0.190849,0.0757971,0.10311,0.0354611,0,0.0128422
107286222,RAD51 recombinase,18,120,154,37,13,83,3,83,80,14,241,66,103,21,28,32,6,14,116,36,41,137,205,151,55,60,29,4,68,12,0.638898,0.269035,0.49072,0.709669267,0.2582126,0.3822841,0.2202948,0.238
107292977,transmembrane protein 47,0,2,1,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0.64995,0.634454,0.879058,0.617513,21.3905,17.4731,0.016535,0.0257385
107291129,prostaglandin E receptor 4,166,358,354,148,110,251,22,112,158,99,473,357,170,128,107,135,77,129,582,88,126,257,490,525,1339,394,348,65,304,71,0.469693252,0.544531,0.5666768,0.321645465,4.005874,1.535972,25.0179,23.80871
107284744,solute carrier family 35 member A1,2547,932,1082,1580,973,650,491,344,723,518,506,1468,240,663,1034,466,956,616,874,571,490,382,900,578,1202,854,1436,790,366,1371,10.71150409,10.695533,9.388515829,10.454401,20.607653,14.315564,74.859492,37.523392
107285268,potassium voltage-gated channel interacting protein 2,1,2,4,1,0,3,0,1,0,1,1,0,1,1,0,2,1,0,0,0,0,2,3,1,3,1,0,0,2,0,0,0.200867,0.31026,0,4.3459328,2.007941924,0.1648875,0.858907
107283759,"thyroid hormone receptor, beta",41.73,24,38,67,26,37,21,38,21,32,11,40,17,27,25,23,19,46,26,25,51,35,74,28,24,41,26,17,85,40,2.1063083,3.605372,3.009118,1.75966,4.075994022,3.509154,4.14585,2.927839
107303020,"thyroid hormone receptor, alpha",16.48,16.53,11.41,11,8.6,12,9.73,15,17.86,22,21.88,34,3.31,10.71,7.61,9.29,3.9,11,18.73,11.33,19,20,64,7.27,29.43,9,19.15,12.31,29,3,4.65573,6.11752,5.445231,5.40249358,4.440694,5.8527461,0.092572,0.0812993
107297647,frizzled class receptor 6,105,199,348,111,76,123,43,110,231,110,301,173,220,89,107,145,55,92,285,115,123,265,444,262,200,172,108,57,153,59,0.730704,0.703655,1.060564019,0.684261,9.926637,4.907609,19.3809,17.7367
107295442,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1",0,0,0,2,0,3,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,4,0,2,1,1,1,0,0,0,0.311014,0,0.136489,0.0636386,0.138354,0.0574275
107286997,myosin light chain 2,7,103,2,5,24,1402,4,43,2,14,155,68,5,7,1,57,18,2,25,0,1,111,20,38,0,3,33,187,1276,79,0,0,0,0,0.102882,0.128194,0.615446,0.142829
107282663,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.755275,3.733081,3.244662,3.246431,0.678895,0.260229,0.228787,0.989166
107285154,phosducin,1,1,5,0,0,1,0,1,4,0,0,12,0,0,0,0,0,0,0,0,0,1,5,2,0,2,0,0,2,0,0,0,0,0,0.0313967,0.00970538,0,0
107297703,interleukin 10,1,0,1,1,0,0,1,2,1,0,20,0,4,1,0,0,1,0,7,0,3,1,0,2,3,1,2,0,0,1,0,0,0,0,0.353076,0.0300218,0,2.01235
107292204,TIMP metallopeptidase inhibitor 2,245,571,479,181,145,258,109,144,416,140,550,362,374,179,178,174,182,174,724,263,113,623,1142,322,542,221,356,28,459,172,11.82653,11.89023,14.54659,14.02451,39.0862304,23.6949026,0.508828,0.438994
107283018,"deiodinase, iodothyronine, type I",2,2,4,1,1,3,0,2,2,0,1,2,1,1,7,1,1,0,2,1,3,2,3,3,5,3,0,2,0,0,1.96944,1.668190104,2.2365093,1.726659,0.0903132,0,0.136762,0.425625
107285162,estrogen receptor 2 (ER beta),17,143,105,38,21,44,4,21,50,17,57,42,29,22,6,24,9,2,64,21,13,42,45,86,71,84,26,19,97,12,0.118793,0.0416097,0,0.108317,0.30972053,0.1710901,0.0986344,6.98894
107290808,CD28 molecule,2,6,2,5,6,7,0,4,1,1,35,3,6,8,3,1,0,1,3,1,1,12,5,3,4,10,1,1,1,1,0.696747,0.48117,0.680952,0.556135,0.455021,0.2779209,0.237903,0.093055
107285807,sodium channel epithelial 1 alpha subunit,0,18,24,4,1,5,7,1,3,4,1,8,1,1,2,1,0,1,4,4,0,1,26,9,8,9,5,0,9,2,5.786663,7.830403002,8.63723517,8.897588072,15.81595437,12.1179906,33.587542,58.8453101
107290751,angiopoietin 1,16,24,10,15,5,2,16,6,27,8,9,8,9,12,18,8,6,7,3,5,0,11,12,13,17,17,12,3,0,13,0.381194,0.362327,0.630746,0.592636,12.4855156,6.937518,3.00002,3.763234
107303160,"protein tyrosine phosphatase, non-receptor type 13",7.27,91.15,109.35,12.57,9.67,27.7,3.21,9,43.52,6.24,69.01,42.24,37,13.92,23.64,9.59,7.06,9.88,50.77,34.61,12.25,60.73,262.86,70.83,66.77,29.96,15.28,9.79,87.27,5.44,0.268921,0.510842,0.357421,0.430694,3.3702187,0.9941306,6.82128355,3.1371076
107297468,ribosomal protein L7a,3244,1966,2593,2659,2229,1911,1610,1157,2583,1458,1289,2423,990,2119,2015,1207,1187,774,2290,1315,1193,1388,1914,1334,2323,1629,2055,7939,1383,2941,185.570993,195.813689,194.578708,189.701053,299.8204179,525.3906721,293.603,211.831
107303061,ribosomal protein L19,22501,10145,11090,28133,11577,19382,6231,10144,13871,10418,7027,23970,6091,10188,8250,6747,6237,6992,14189,4752,10297,11189,15100,8735,15581,18072,11843,52169,15819,14090,249.66,262.84857,271.646341,268.217739,365.665517,533.803024,2504.48,4526.1177
107298535,ribosomal protein S11,3186,2278,2710,2887,2106,2380,1086,1080,3202,1270,1584,2371,1249,1582,1432,1468,1210,731,3106.84,1158,1235,1705,2189,2864.72,2526.86,2221,1626,9006.87,2003,2731,134.37028,157.64913,159.5286886,158.003622,916.488936,904.523045,4946.66,6347.47
107287055,serine/arginine-rich splicing factor 3,1535,1375,1790,1353,930,1024,381,626,1512,467,1146,1211,1093,756,445,715,537,568,1480,440,602,1560,2154,1355,1391,1629,1058,1062,1130,1290,17.392473,14.93972653,22.6128899,18.259669,85.34751,61.785882,184.936,207.062
107286990,ribosomal protein L6,3665,2627,3028,3824,2348,2608,1714,1422,3416,1590,1421,2341,1485,2349,2150,1597,937,712,3423,1481,1787,1831,1877,1456,2433,2656,2644,6095,1480,2953,142.751009,149.466178,140.210711,153.25809,617.731602,554.947939,458.278,329.918
107284953,solute carrier family 3 member 1,1310,157,139,814,837,325,972,987,464,904,270,364,39,864,1234,728,807,840,279,992,999,52,47,207,646,30,908,325,41,427,0.0728995,0,0.0559928,0,0.3053934,0.2697433,2.70265,3.8058844
107289763,ARP3 actin-related protein 3 homolog (yeast),5430,4734,7680,3539,2166,2669,1479,2274,2371,1621,4024,5331,2932,2561,3534,1633,2867,1886,2959,3107,1985,4242,12877,4799,3977,4983,3073,974,2746,2976,22.60826873,27.168707,23.9898309,24.826492,42.226881,39.1264764,144.1789,101.5755
107298125,transferrin receptor,15,7,13,5,28,28,8,14,12,9,20,116,51,12,9,20,16,11,40,15,9,24,709,18,63,16,9,16,48,7,8.278818,6.571174,6.612376,7.83965,15.5468274,5.5602886,23.6281,8.85424
107288798,N-sulfoglucosamine sulfohydrolase,209,208,236,111,179,108,54,123,97,73,281,237,137,112,77,85,67,60,303,97,111,264,392,303,285,99,135,83,120,100,1.28809197,1.52407,1.721802,1.300722131,4.833988,8.780859,0,0.04088
107290679,TEK receptor tyrosine kinase,32,109,84,15,14,50,8,22,72,25,44,29,59,18,28,28,19,28,73,40,14,89,109.99,59,49,45,46,29,72,26,1.002662467,0.701119376,0.567527,1.00984641,3.189326,1.530638,4.71997409,2.546656726
107288499,growth hormone receptor,9,44,22,7,6,21,3,5,24,7,21,3,11,5,8,10,6,19,29,2,3,17,24,24,13,22,8,5,18,1,9.7450808,11.4652876,12.035938,11.9102879,5.2554748,1.66100301,46.88754,35.76804
107294150,fms related tyrosine kinase 1,59,161,101,91,18,105,43,59,98,108,82,41,35,69,104,65,78,71,183,102,40,68,78,43,99,111,43,36,70,121,1.361326,2.363565,2.537472,1.65148,5.6657748,2.592929367,5.71512,2.0973
107284354,aquaporin 1 (Colton blood group),7,32,35,17,18,47,2,4,23,19,35,13,12,18,11,14,4,14,37,25,16,75,25,17,23,21,19,3,41,7,4.68293,5.29511,5.71036,5.33714,54.19465,33.23508,60.262114,55.294422
107295718,matrix metallopeptidase 2,99,525,295,132,99,280,87,127,388,133,656,717,246,145,170,135,88,70,982,124,246,287,3488,293,529,215,234,27,335,130,3.026669,4.699848,3.46440412,3.438838,9.94410351,18.257937,52.283,20.2687
107287923,Harvey rat sarcoma viral oncogene homolog,6,14,28,6,4,17,1,4,17,6,20,8,24,13,0,7,4,8,17,6,11,49,78,23,5,9,3,2,8,1,7.876464,11.149347,13.001253,9.423749,1.699836,4.845198,13.41908,17.87486
107285498,"spectrin beta, non-erythrocytic 1",206,483,305,211,174,231,95,183,482,141,352,208,206,299,156,278,219,132,302,199,117,498,860,412,511,268,269,105,289,155,7.969285,11.175214,10.376155,10.988173,34.7622171,17.15489278,74.06907,62.31345
107290425,"solute carrier family 1 (glial high affinity glutamate transporter), member 2",0,3,3,0,1,0,0,3,0,0,5,0,0,0,0,1,0,0,2,0,1,4,0,0,2,1,0,0,0,0,0.29252075,0.853730308,0.9169546,0.4502917,9.5199116,4.54939241,14.27093,8.127966
107291606,solute carrier family 1 member 1,2309,487.99,743,1233,899,420,1076,1009,714,671,582,654,366,943,1693,1084,1077,844,645,920,934,280,798,371,1264,1032,1077,825,556,1000,0,0.132747,0.2695232,0.2025112,3.033247,1.81343,37.3275035,50.3047
107289036,POU class 1 homeobox 1,59,102,111,46,38,50,11,9,26,18,69,22,31,29,18,17,13,14,48,26,6,34,39,76,97,119,35,13,89,38,0,0.0935322,0,0,0,0.00780562,0.0915884,0.106922
107285760,glyceraldehyde-3-phosphate dehydrogenase,6635,40585,26978,21528,11017,35336,2129,7625,9201,6731,13867,10463,12957,6005,4556,5398,1321,1239,24907,4710,5820,23208,10201,20111,20147,39856,5704,21757,26475,3535,94.33208292,107.8332948,116.5260007,111.017947,223.6748061,285.0797227,824.429,755.18
107284294,integrin subunit beta 2,32,329,292,118,54,78,19,102,84,33,322,67,253,78,34,55,36,21,311,133,75,331,481,407,87,124,88,28,152,37,2.975101,2.758289886,3.267508509,2.991252896,2.663510001,5.2860456,1.56923,3.15172
107290417,nephronophthisis 1 (juvenile),84,301,261,162,69,209,33,135,164,41,157,198,208,48,67,120,54,38,287,83,112,344,406,261,153,296,78,32,237,57,1.876768,1.144016677,1.565325,2.051657,1.1965682,1.13934784,0.568213,0.299024
107296048,phosphodiesterase 6D,8,8,8,9,6,11,2,14,11,1,6,9,8,4,7,3,5,4,13,7,11,18,18,11,7,14,5,4,8,7,3.52803,4.15959,3.44566,2.84295,5.817913,4.3255009,32.92884,104.002
107303035,integrin subunit beta 3,8,20,25,16,8,12,2,13,37,4,17,94,47,15,2,7,3,3,66,8,9,156,727,20,15,48,9,1,22,1,0.352161,0.509236,0.41403,0.545521,1.555589,0.5324302,0.873489,1.13885
107300213,retinal pigment epithelium-specific protein 65kDa,2,2,1,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,3,0,0,1,1,4,1,0,1,0,2,3,0,0,0,0,0.0204348,0.00419474,0,0
107294049,KIT proto-oncogene receptor tyrosine kinase,24,28,10,9,6,11,6,34,3,2,32,11,30,19,11,11,6,14,31,6,20,33,11,24,74,23,30,2,9,2,4.2083264,5.61638,3.747741063,5.1146274,11.438352,7.712262,1.28985,0.789935
107294780,histamine receptor H2,0,13,13,15,3,6,6,10,3,3,16,8,7,16,12,3,6,3,23,4,5,8,30,13,8,5,11,1,14,1,0.0791912,0.1045319,0,0.077838,0.2716976,0.06744078,0.693217,0.657956
107283233,tachykinin receptor 1,1,2,1,1,2,1,1,0,1,1,0,0,11,1,2,2,1,1,3,1,0,6,2,4,2,4,1,0,0,3,0.021849501,0.066681502,0.046481201,0.063794701,1.02659,0.233979,1.68803,0.774649
107296204,nitric oxide synthase 2,0,0,5.52,0,0,0,0,0,2,0,7.08,10,2.43,0,2,1,2,0,0,2,0,3.54,3.72,4,3,3,1,0,0,1.26,0.127439,0.2195977,0.0678531,0.4167939,0.0156522,0.0772042,0.0328725,0.0255847
107288503,collagen type II alpha 1,0,6,2,2,1,1,0,6,65,0,0,38,41,0,0,0,0,0,2,1,1,13,331,2,1,8,0,1,8,0,0,0,0,0,0,0.00952927,0,0
107285111,phosphatase and tensin homolog,469,316,401,377,222,191,245,237,461,150,369,328,227,244,360,281,348,210,403,250,224,278,437,361,326,248,335,374,228,554,4.6987663,4.4629183,4.36554,5.311149,17.0519,10.46202,94.4546,55.36453
107303217,angiotensin II receptor type 2,46,77,91,29,24,26,15,41,62,19,95,83,72,31,22,22,18,19,92,32,24,108,223,99,99,92,18,22,53,29,0,0,0,0,0.153953,0.0227473,0,0
107292554,fibronectin 1,434,1951,1692,681,268,426,176,247,1320,204,1294,978,1248,284,299,302,254,241,2298,714,363,1361,4098,1144,769,1210,650,241,537,351,3.055606103,2.14388498,1.9467303,2.43107308,21.88126594,13.12570445,3.066229039,1.084611241
107284261,phospholipase A2 group VII,4,8,11,5,0,11,0,3,7,2,9,17,13,3,1,1,4,1,36,3,3,12,20,18,3,15,8,1,8,6,3.16782,8.2996,7.077041,5.606358559,0.484799,0.240453,251.88701,40.46477
107288505,"phosphofructokinase, muscle",1094,11308,6152,2977,3762,11510,621,3003,1775,3620,6800,2497,5626,3130,1403,2274,268,385,10504,3753,905,14397.94,3951,12002,10841,7389,1743,1983,7910,241,6.51096504,8.161820029,7.8846884,8.527300015,7.5822301,6.672499003,58.4852,43.7982
107303211,interleukin 2 receptor subunit gamma,6,32,42,13,16,14,6,48,5,7,204,30,63,48,3,12,8,5,60,7,21,147,85,84,44,19,30,2,26,4,4.684872,6.405707,7.801995,5.9857631,7.234121,3.874001,0,0
107287935,glutaminyl-peptide cyclotransferase,12551,826,738,7603,7798,2544,9752,6674,6537,10686,2108,4366,264,6546,7056,6988,11299,9178,2368,6090,5234,280,1056,1825,3940,271,6173,10483,530,9804,0.109533,0.648348,0.507205,0.617652,9.1476069,5.0986316,4.78138,1.84114
107284053,neuroblastoma RAS viral (v-ras) oncogene homolog,583,562.06,650,435,439,273.19,109,264,391.21,162,499,307,429,203,156,270,168,220.06,598,241.09,170,502,915,553.24,533,446,294,166,407.99,377.33,2.400662,4.758347,2.28987,3.273194252,8.67269,5.75283,30.3493,24.2697
107284273,5-hydroxytryptamine receptor 2A,4,7,10,5,0,4,2,4,4,0,5,8,3,6,15,2,0,0,11,12,1,7,7,5,1,23,10,2,2,9,0,0,0,0,0.116457,0.317227,1.760563,0.579893
107292533,tribbles pseudokinase 2,15,19,20,9,19,14,14,3,22,13,31,13,10,10,9,21,6,18,26,18,5,17,70,16,28,20,18,4,19,7,2.069083,2.0645712,2.03224,1.95566,10.3554592,7.427818,3.21964,5.08722
107284019,cAMP responsive element modulator,22,92,49,55,30,89,1,34,59,31,29,85,14,13,11,9,22,12,100,17,21,58,102,29,63,216,12,17,65,13,2.748684093,2.188993373,2.408122021,1.172382,15.39917057,8.748411369,17.875302,13.611421
107284773,decorin,829,5169,2771,771,388,1334,372,398,3177,517,1791,1650,1477,870,669,792,668,198,3749,572,446,1680,4763,1422,1111,2583,1217,252,1253,405,41.9560422,54.558559,54.6632605,54.8143818,278.5831359,127.6647396,711.00157,331.45777
107285516,S-antigen; retina and pineal gland (arrestin),3,7.77,1.3,1.3,1.3,2,1,1,5,0,1,2.59,0,2,0,2.59,0,0,1.3,1,0,1,12,3,1.12,1.3,0,1,1,0,0.16812,0.333947,0.3637727,0.0711779,0.03489751,0.01983583,0,0
107283923,"alanyl aminopeptidase, membrane",182,130,293,199,476,141,521,309,334,563,155,353,60,338,224,309,429,446,220,360,132,104,297,408,833,110,222,466,158,534,10.211527,14.41982,15.74665,17.106925,4.251662,1.810547,10.879,15.26379
107285292,"YES proto-oncogene 1, Src family tyrosine kinase",45,79,110,46,25,43,34,56,58,23,115,45,43,42,56,42,36,33,80,65,71,67,75,67,75,99,56,20,64,25,2.1341558,2.54803,1.954609,2.805413,17.96731,15.30553,0.01299807,28.80948
107299311,v-myc avian myelocytomatosis viral oncogene homolog,173.62,74,101,87,96,77,69,82,66,85,164,135,91,88.51,59,92,135,98,109,93,73,82,199,93,160,134.9,108,133,94,116,3.268071,2.119969,2.648604885,2.758798,20.8688726,8.6693117,6.9485,10.3955
107290818,signal recognition particle 14kDa,606,160,284,568,352,183,143,227,304,181,203,294,241,328,147,183,205,179,305,121,227,211,239,188,440,268,247,1227,193,533,23.671182,25.915407,26.411354,23.8814,131.1847424,100.035941,367.8548,601.5729
107295192,"lectin, mannose binding 2",4715,2169,2816,3380,2602,2209,2761,3397,3083,3606,2690,3226,1873,3149,3081,2892,3455,3441,4124,2934,3334,2567,3282,4017,3019,2032,3581,1123,2881,2130,13.4338677,14.980213,14.432385,13.792096,38.15127,35.54534,98.1331,101.797
107290246,translocation associated membrane protein 1,26464,3161,3522,14469,13901,5390,8608,6383,6482,7793,3082,8089,1437,9166,8506,5425,7615,10742,5306,7675,6127,1880,4524,4235,12018,3328,11738,16011,1844,13940,50.910024,53.030559,55.86813,52.964658,158.4013172,108.03451,135.34684,124.99986
107295560,transcription factor 4,185,274,246,97,106,179,60,66,238,115,261,210,119,162,138,95,109,100,264,127,76,200,293,149,299,118,208,127,227,163,3.0798027,3.280918853,3.21266238,3.9857948,18.39704,9.420654,2.315004,1.7767364
107290785,signal recognition particle 68kDa,2210,609,763,801,762,412,485,427,661,702,553,543,369,592,561,658,932,1388,536,806,540,587,1249,461,1607,645,1064,280,421,805,18.54614,18.4504,20.5822,21.24046,19.18932,21.09964,0.178425,0.246864
107298993,atypical chemokine receptor 3,240,1528,2001,347,298,513,116,523,713,143,1984,793,1789,391,310,364,185,120,1281,265,373,1527,2344,1284,577,1031,296,38,1264,171,1.11112,0.950214,1.22176,1.04579,10.531404,5.298884,4.63355,5.91064
107287477,ATPase Na+/K+ transporting subunit beta 1,1606,1539,2244,697,730,692,413,555,753,388,744,1101,683,634,620,483,672,560,1278,668,608,1014,3421,1046,1539,1186,1025,117,1124,481,153.36508,168.24314,178.59285,179.8723,180.387178,76.135476,2.82335,1452.734
107295475,thyrotropin receptor-like,2,9,3,0,1,3,0,1,1,2,1,0,4,6,1,4,0,0,0,0,0,9,0,0,6,2,0,0,1,0,0.3567554,0.222024,0.3384843,0.2136781,0.9732387,0.2102374,0,0.0387192
107286413,"peripherin 2 (retinal degeneration, slow)",0,1,4,0,0,0,0,2,0,0,3,1,2,0,0,0,0,0,0,1,0,0,1,1,1,3,0,0,1,3,0,0,0,0,0.321989,0.187394,0,0.0384636
107299560,dihydrolipoamide dehydrogenase,105,205,200,104,137,223,45,113,71,194,256,253,133,158,148,128,129,69,189,128,104,241,170,276,345,108,179,169,315,132,15.709298,15.741058,20.511901,14.668184,36.0459492,25.96972483,63.715855,44.12208993
107287882,caveolin 1,1740.36,6003.95,7368.35,1249.4,1337.72,3740.98,806.39,1041.62,2022.95,1076,3890.16,731.53,3329.73,1311.24,1347.14,1859,680.24,739.65,3708,1734.18,864.75,3609.9,4449.99,3068.7,2432.2,2435.76,1792.7,223.39,5471.16,986.72,10.908452,11.168965,11.490959,12.84077,56.93430303,17.42360288,61.5416,62.9114
